Date,Close,Open,High,Low,Change,Log_Rate
1979-12-26,107.8,107.8,108.4,107.1,0.09,
1979-12-27,108.0,108.0,108.5,107.1,0.19,0.0018535686493228347
1979-12-28,107.8,107.8,108.6,107.2,-0.19,-0.0018535686493229438
1979-12-31,107.9,107.9,108.5,107.3,0.09,0.0009272137891922675
1980-01-01,107.9,107.9,107.9,107.9,0.0,0.0
1980-01-02,105.8,105.8,108.4,105.3,-1.95,-0.019654352839889998
1980-01-03,105.2,105.2,106.1,103.3,-0.57,-0.005687219120589464
1980-01-04,106.5,106.5,107.1,105.1,1.24,0.012281684845870229
1980-01-07,106.8,106.8,107.8,105.8,0.28,0.0028129413766146577
1980-01-08,108.9,108.9,109.3,106.3,1.97,0.019472103412820314
1980-01-09,109.1,109.1,111.1,108.4,0.18,0.0018348629001102184
1980-01-10,109.9,109.9,110.9,108.5,0.73,0.007305968570550715
1980-01-11,109.9,109.9,111.2,108.9,0.0,0.0
1980-01-14,110.4,110.4,111.4,109.3,0.45,0.004539272433419351
1980-01-15,111.1,111.1,111.9,109.4,0.63,0.006320562802589237
1980-01-16,111.1,111.1,112.9,110.4,0.0,0.0
1980-01-17,110.7,110.7,112.0,109.8,-0.36,-0.0036068569309930187
1980-01-18,111.1,111.1,111.7,109.7,0.36,0.003606856930993063
1980-01-21,112.1,112.1,112.9,110.7,0.9,0.008960633432530004
1980-01-22,111.5,111.5,113.1,110.9,-0.54,-0.005366739177940675
1980-01-23,113.4,113.4,113.9,110.9,1.7,0.01689680039347821
1980-01-24,113.7,113.7,115.3,112.9,0.26,0.002642009462838576
1980-01-25,113.6,113.6,114.4,112.4,-0.09,-0.0008798944694395038
1980-01-28,114.8,114.8,115.7,112.9,1.06,0.010507977598415165
1980-01-29,114.1,114.1,115.8,113.0,-0.61,-0.006116227017436094
1980-01-30,115.2,115.2,115.8,113.4,0.96,0.009594491393761043
1980-01-31,114.2,114.2,117.2,113.8,-0.87,-0.008718451039881047
1980-02-01,115.1,115.1,115.5,113.1,0.79,0.00785001850592708
1980-02-04,114.4,114.4,116.0,113.8,-0.61,-0.006100236782139354
1980-02-05,114.7,114.7,115.2,112.2,0.26,0.0026189451896273517
1980-02-06,115.7,115.7,116.6,113.7,0.87,0.008680610064305852
1980-02-07,116.3,116.3,117.9,115.2,0.52,0.0051724253249876935
1980-02-08,117.9,117.9,118.7,115.7,1.38,0.013663748018706632
1980-02-11,117.1,117.1,119.1,116.3,-0.68,-0.006808536939653646
1980-02-12,117.9,117.9,118.4,115.8,0.68,0.006808536939653746
1980-02-13,118.4,118.4,120.2,117.6,0.42,0.004231914906580157
1980-02-14,116.7,116.7,119.3,116.0,-1.44,-0.014462183157395014
1980-02-15,115.4,115.4,116.7,114.1,-1.11,-0.011202185218511037
1980-02-18,115.4,115.4,115.4,115.4,0.0,0.0
1980-02-19,114.6,114.6,115.7,113.3,-0.69,-0.00695654979336005
1980-02-20,116.5,116.5,117.2,114.1,1.66,0.01644346872511602
1980-02-21,115.3,115.3,117.9,114.4,-1.03,-0.01035384573074199
1980-02-22,115.0,115.0,116.5,113.4,-0.26,-0.002605298911763254
1980-02-25,113.3,113.3,114.9,112.6,-1.48,-0.014892960329289438
1980-02-26,114.0,114.0,114.8,112.3,0.62,0.006159280360534867
1980-02-27,112.4,112.4,115.1,111.9,-1.4,-0.014134510934904693
1980-02-28,112.3,112.3,113.7,111.3,-0.09,-0.0008900757151932284
