Date,Close,Change,Fluctuation,Open,High,Low,Volume,Transaction,Market_cap
2023.1.19,712.89,1.14,0.16,707.66,712.94,705.76,1008733,6275313,3.32E+08
2023.1.18,711.75,2.04,0.29,711.12,713.28,708.79,1175236,6534155,3.31E+08
2023.1.17,709.71,-7.18,-1,716.7,718.9,708.54,1162083,6282539,3.30E+08
2023.1.16,716.89,5.07,0.71,714.71,718.15,713.19,1230666,5646744,3.33E+08
2023.1.13,711.82,1,0.14,712.24,714.75,709.26,1082282,5228817,3.31E+08
2023.1.12,710.82,1.05,0.15,713.56,714.1,707.54,1246163,5282576,3.30E+08
2023.1.11,709.77,13.72,1.97,701.29,710.29,701.29,1247666,5513944,3.30E+08
2023.1.10,696.05,-5.16,-0.74,700.16,704.6,694.92,1158010,6117172,3.24E+08
2023.1.9,701.21,12.27,1.78,695.02,701.21,695.02,1008250,5133009,3.26E+08
2023.1.6,688.94,9.02,1.33,677.28,691.17,676.4,818506,5526770,3.20E+08
2023.1.5,679.92,-3.75,-0.55,685.78,688.35,677.77,885279,5386583,3.16E+08
2023.1.4,683.67,8.72,1.29,670.18,683.67,667.3,901765,5078752,3.18E+08
2023.1.3,674.95,3.44,0.51,672.18,675.75,660.32,935984,5089082,3.13E+08
2023.1.2,671.51,-7.78,-1.15,683.84,688.77,670.38,742767,4368091,3.12E+08
2022.12.29,679.29,-13.08,-1.89,691.35,693.12,675.8,952158,4811065,3.15E+08
2022.12.28,692.37,-11.82,-1.68,699.24,699.39,691.01,834832,5137454,3.21E+08
2022.12.27,704.19,9.51,1.37,697.25,704.21,697.25,901437,5092351,3.28E+08
2022.12.26,694.68,3.43,0.5,691.94,696.96,686.8,797708,4331951,3.23E+08
2022.12.23,691.25,-23.77,-3.32,704.93,704.93,691.25,1107302,5147798,3.22E+08
2022.12.22,715.02,9.32,1.32,710.47,715.35,709.52,851988,4454191,3.32E+08
2022.12.21,705.7,2.57,0.37,708.13,709.95,701.61,938032,5181367,3.28E+08
2022.12.20,703.13,-14.09,-1.96,715.13,715.29,701.44,977951,5388784,3.27E+08
2022.12.19,717.22,-0.19,-0.03,716.8,722.42,714.63,776383,4424672,3.33E+08
2022.12.16,717.41,-5.27,-0.73,711.33,720.48,710.2,889444,4729866,3.34E+08
2022.12.15,722.68,-6.32,-0.87,725.32,730.51,721.46,957408,4765903,3.36E+08
2022.12.14,729,13.84,1.94,718.17,729.17,718.17,1082238,5359244,3.39E+08
2022.12.13,715.16,-0.06,-0.01,717.64,719.33,712.21,1191298,4878762,3.32E+08
2022.12.12,715.22,-4.27,-0.59,716.88,718.31,714.26,964001,4713130,3.32E+08
2022.12.9,719.49,6.97,0.98,717.24,721.14,712.4,1278548,6153962,3.34E+08
2022.12.8,712.52,-5.62,-0.78,718.37,719.69,711.08,1069811,5819829,3.31E+08
2022.12.7,718.14,-1.3,-0.18,715.63,722.62,711.63,982851,5033009,3.33E+08
2022.12.6,719.44,-13.88,-1.89,726.32,727.34,719.29,926869,5019200,3.34E+08
2022.12.5,733.32,0.37,0.05,736.45,739.77,731.07,1058483,5258241,3.40E+08
2022.12.2,732.95,-7.65,-1.03,740.13,740.18,732.41,856591,6105784,3.40E+08
2022.12.1,740.6,11.06,1.52,740.97,744.56,739.16,825110,5758034,3.43E+08
2022.11.30,729.54,2,0.27,726.56,729.54,722.4,813569,5003808,3.38E+08
2022.11.29,727.54,9.64,1.34,715.02,727.6,713.26,794008,4828376,3.37E+08
2022.11.28,717.9,-15.66,-2.13,731.81,731.81,717.13,878677,5419028,3.32E+08
2022.11.25,733.56,-4.66,-0.63,737.46,737.53,732.48,710329,4723353,3.40E+08
2022.11.24,738.22,12.63,1.74,729.41,738.7,729.41,793574,5222187,3.42E+08
2022.11.23,725.59,13.33,1.87,718.29,725.64,718.29,830056,5035913,3.36E+08
2022.11.22,712.26,-6.31,-0.88,716.24,719.8,711.92,895809,5004878,3.30E+08
2022.11.21,718.57,-13.35,-1.82,733,733.65,717.55,981797,5315208,3.33E+08
2022.11.18,731.92,-5.62,-0.76,738.34,742.17,731.53,1297151,6078255,3.39E+08
2022.11.17,737.54,-5.56,-0.75,740.62,742.29,735.04,978991,5746482,3.41E+08
2022.11.16,743.1,-1.86,-0.25,746.55,746.62,737.87,1186546,6517655,3.43E+08
2022.11.15,744.96,15.42,2.11,730.33,744.96,730.33,1130886,6639307,3.44E+08
2022.11.14,729.54,-1.68,-0.23,732.29,734.73,728.81,1100846,6717777,3.37E+08
2022.11.11,731.22,23.44,3.31,727.22,732.12,724.53,1079377,7471802,3.37E+08
2022.11.10,707.78,-6.82,-0.95,708.49,712.48,705.7,1041902,6157828,3.26E+08
2022.11.9,714.6,1.27,0.18,715.19,717.09,711.15,931480,5824932,3.29E+08
2022.11.8,713.33,12.85,1.83,703.36,713.33,703.36,846230,5810477,3.29E+08
2022.11.7,700.48,6.59,0.95,696.22,700.49,695.1,722344,4651071,3.23E+08
2022.11.4,693.89,-0.24,-0.03,691.69,694.17,684.99,737322,5424943,3.20E+08
2022.11.3,694.13,-3.24,-0.46,685.42,695.63,683.74,707278,4750449,3.20E+08
2022.11.2,697.37,-2.68,-0.38,697.4,699.24,694.94,858230,5906554,3.22E+08
2022.11.1,700.05,4.72,0.68,695.45,700.07,693.92,920257,4783325,3.23E+08
2022.10.31,695.33,7.7,1.12,694.69,695.62,689.97,751259,4111223,3.21E+08
2022.10.28,687.63,-7.46,-1.07,690.71,695.51,687.19,847495,5273825,3.18E+08
2022.10.27,695.09,11.92,1.74,686.41,695.22,686.41,852166,4815443,3.21E+08
2022.10.26,683.17,-5.68,-0.82,690.67,691.13,683.14,963245,5482860,3.16E+08
2022.10.25,688.85,0.35,0.05,690.77,695.95,686.21,973741,5479512,3.18E+08
2022.10.24,688.5,14.02,2.08,686.43,693.44,686.43,817959,4941482,3.18E+08
2022.10.21,674.48,-5.96,-0.88,678.16,682.49,674.48,1034394,5149618,3.11E+08
2022.10.20,680.44,-10.12,-1.47,688.44,693.14,675.89,1052781,5294037,3.14E+08
2022.10.19,690.56,-6.53,-0.94,697.94,705.84,689.67,1050552,6485036,3.18E+08
2022.10.18,697.09,15.09,2.21,692.39,697.37,685.9,1068477,7041627,3.21E+08
2022.10.17,682,3.76,0.55,667.61,682.39,664.83,814418,5447791,3.13E+08
2022.10.14,678.24,26.65,4.09,665.17,679.92,665.17,893525,5253140,3.11E+08
2022.10.13,651.59,-20.08,-2.99,669.36,669.71,650.39,1051923,5482305,2.99E+08
2022.10.12,671.67,2.17,0.32,669.59,673.42,663.6,1140924,5053657,3.08E+08
2022.10.11,669.5,-28.99,-4.15,685.3,685.3,667.63,1155753,5117909,3.07E+08
2022.10.7,698.49,-7.52,-1.07,700.71,707.42,697.59,1149849,5316309,3.21E+08
2022.10.6,706.01,20.67,3.02,690.48,706.43,690.48,1139543,5020144,3.24E+08
2022.10.5,685.34,-11.45,-1.64,706.76,707.59,683.15,813666,5380244,3.15E+08
2022.10.4,696.79,24.14,3.59,685.19,696.79,683.63,667596,4625879,3.20E+08
2022.9.30,672.65,-2.42,-0.36,668.26,677.68,661.65,786871,5495664,3.09E+08
2022.9.29,675.07,1.2,0.18,686.63,695.49,675.07,803932,5674039,3.08E+08
2022.9.28,673.87,-24.24,-3.47,696.38,702.72,668.3,911993,6368439,3.08E+08
2022.9.27,698.11,5.74,0.83,694.53,700.38,681.59,947764,6033947,3.19E+08
2022.9.26,692.37,-36.99,-5.07,719.6,719.6,690.6,943308,6277768,3.16E+08
2022.9.23,729.36,-22.05,-2.93,749.87,749.87,728.29,883278,6545898,3.33E+08
2022.9.22,751.41,-3.48,-0.46,746.82,751.58,736.11,978686,6314293,3.43E+08
2022.9.21,754.89,-5.46,-0.72,757.13,761.35,750.14,941673,5677078,3.44E+08
2022.9.20,760.35,8.44,1.12,758.35,764.4,757.33,804841,5303730,3.47E+08
2022.9.19,751.91,-18.13,-2.35,771.52,772.45,750.64,882638,6345057,3.43E+08
2022.9.16,770.04,-11.34,-1.45,776.49,780.25,768.7,889033,7489956,3.51E+08
2022.9.15,781.38,-1.55,-0.2,786.33,787,780.31,851719,7269660,3.56E+08
2022.9.14,782.93,-13.86,-1.74,775.93,784.45,770.05,858083,6759115,3.57E+08
2022.9.13,796.79,18.98,2.44,790.89,796.83,790.83,842463,6199033,3.63E+08
2022.9.8,777.81,9.62,1.25,776.59,781.52,775.31,738189,6231333,3.54E+08
2022.9.7,768.19,-11.27,-1.45,776.82,776.99,765.08,795843,6394707,3.50E+08
2022.9.6,779.46,8.03,1.04,774.23,781.9,774.23,732725,5369171,3.55E+08
2022.9.5,771.43,-14.45,-1.84,784.83,786.6,768.82,741715,5639235,3.51E+08
2022.9.2,785.88,-2.44,-0.31,793.11,795.87,784.67,801799,5893632,3.58E+08
2022.9.1,788.32,-18.72,-2.32,800.74,801.02,788.13,711356,6645920,3.59E+08
2022.8.31,807.04,10.02,1.26,792.33,807.19,791.01,637456,5866887,3.67E+08
2022.8.30,797.02,17.13,2.2,783.99,797.03,783.99,667241,6078637,3.62E+08
2022.8.29,779.89,-22.56,-2.81,780.48,783.45,775.33,619621,5372133,3.54E+08
2022.8.26,802.45,-4.92,-0.61,810.33,813,801.84,718361,6067799,3.65E+08
2022.8.25,807.37,14.23,1.79,795.18,807.37,794.16,630310,5596399,3.67E+08
2022.8.24,793.14,9.72,1.24,788.36,793.14,782.97,714898,5801415,3.60E+08
2022.8.23,783.42,-12.45,-1.56,789.95,793.81,781.92,855724,5956122,3.56E+08
2022.8.22,795.87,-18.3,-2.25,806.9,806.92,795.87,811881,5828845,3.61E+08
