일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/01/25","91400","3800","4.34","92000","92000","90600","3611901","330045592500","66539416161000","728002365"
"2023/01/20","87600","2100","2.46","86300","87800","86100","2386074","207492408800","63773007174000","728002365"
"2023/01/19","85500","400","0.47","84000","85800","84000","1674834","142678369200","62244202207500","728002365"
"2023/01/18","85100","-900","-1.05","86400","86500","84500","1494262","127203930200","61953001261500","728002365"
"2023/01/17","86000","200","0.23","86400","87200","85700","1586136","136762882075","62608203390000","728002365"
"2023/01/16","85800","100","0.12","86000","86500","84900","1512876","129809226600","62462602917000","728002365"
"2023/01/13","85700","-1100","-1.27","86800","87500","85400","2058890","177934277900","62389802680500","728002365"
"2023/01/12","86800","-500","-0.57","88100","88100","85800","3065582","265514341800","63190605282000","728002365"
"2023/01/11","87300","800","0.92","87800","88400","86500","3083961","269531771800","63554606464500","728002365"
"2023/01/10","86500","500","0.58","85500","87200","85000","3105311","268141293128","62972204572500","728002365"
"2023/01/09","86000","2900","3.49","84900","86000","83500","3948670","336551433700","62608203390000","728002365"
"2023/01/06","83100","1700","2.09","81400","83600","81100","3687430","305364269050","60496996531500","728002365"
"2023/01/05","81400","400","0.49","83300","83300","80800","3510964","287338025380","59259392511000","728002365"
"2023/01/04","81000","5400","7.14","75400","81900","75200","5154609","411463313200","58968191565000","728002365"
"2023/01/03","75600","-100","-0.13","75600","76300","73100","2719437","203401949925","55036978794000","728002365"
"2023/01/02","75700","700","0.93","75100","76700","75000","1376985","104385549300","55109779030500","728002365"
"2022/12/29","75000","-1000","-1.32","75200","75600","74700","1736661","130328025000","54600177375000","728002365"
"2022/12/28","76000","-1000","-1.30","76800","77000","75400","1891221","143606781400","55328179740000","728002365"
"2022/12/27","77000","0","0.00","77500","77600","76500","1694225","130482411200","56056182105000","728002365"
"2022/12/26","77000","-800","-1.03","77700","77700","76500","1414717","109027729300","56056182105000","728002365"
"2022/12/23","77800","-1400","-1.77","77800","78300","77300","1554446","120957863400","56638583997000","728002365"
"2022/12/22","79200","1200","1.54","78500","79300","77900","2061883","162399818300","57657787308000","728002365"
"2022/12/21","78000","-300","-0.38","78500","79200","78000","1513864","118631570500","56784184470000","728002365"
"2022/12/20","78300","-700","-0.89","78200","78900","77800","1361926","106598485400","57002585179500","728002365"
"2022/12/19","79000","600","0.77","78300","80100","78300","1813544","143667793100","57512186835000","728002365"
"2022/12/16","78400","-1800","-2.24","77700","79400","77500","3827227","300436871699","57075385416000","728002365"
"2022/12/15","80200","-1600","-1.96","80600","81100","79900","1713617","137744973300","58385789673000","728002365"
"2022/12/14","81800","-500","-0.61","82100","82600","81100","2357491","192626410600","59550593457000","728002365"
"2022/12/13","82300","1200","1.48","81300","82700","80500","2761104","225567255000","59914594639500","728002365"
"2022/12/12","81100","-400","-0.49","80100","81300","79500","1242007","100209141200","59040991801500","728002365"
"2022/12/09","81500","2700","3.43","79400","81500","79300","2985508","240904110800","59332192747500","728002365"
"2022/12/08","78800","-100","-0.13","78200","79800","78200","3809847","300349172100","57366586362000","728002365"
"2022/12/07","78900","-2100","-2.59","79900","80700","78700","3589926","284643046300","57439386598500","728002365"
"2022/12/06","81000","0","0.00","79900","81100","79800","2781352","223988414410","58968191565000","728002365"
"2022/12/05","81000","-900","-1.10","81900","82300","80700","3516456","286141303500","58968191565000","728002365"
"2022/12/02","81900","-2800","-3.31","83900","83900","81800","4594058","379357522580","59623393693500","728002365"
"2022/12/01","84700","-300","-0.35","87300","87300","84600","2878591","247276783100","61661800315500","728002365"
"2022/11/30","85000","1300","1.55","83200","85400","83100","3332708","282110177452","61880201025000","728002365"
"2022/11/29","83700","600","0.72","82700","83800","82100","1501783","125168335400","60933797950500","728002365"
"2022/11/28","83100","-2000","-2.35","84100","84200","82900","2471506","205831023300","60496996531500","728002365"
"2022/11/25","85100","-1800","-2.07","87200","87300","85100","1439011","123372985900","61953001261500","728002365"
"2022/11/24","86900","1700","2.00","86900","87200","85700","2148255","185804986018","63263405518500","728002365"
"2022/11/23","85200","0","0.00","86100","86700","84900","1480400","126638514702","62025801498000","728002365"
"2022/11/22","85200","-1100","-1.27","85500","86600","84900","1617131","138259167400","62025801498000","728002365"
"2022/11/21","86300","-2100","-2.38","87600","87700","86100","2111523","182763598700","62826604099500","728002365"
"2022/11/18","88400","700","0.80","88700","91500","88100","2981192","267105986700","64355409066000","728002365"
"2022/11/17","87700","-3800","-4.15","82400","88500","82000","3703870","323608613600","63845807410500","728002365"
"2022/11/16","91500","-100","-0.11","92000","92400","90300","2609199","238677656700","66612216397500","728002365"
"2022/11/15","91600","700","0.77","91300","92100","90400","2460465","224722829263","66685016634000","728002365"
"2022/11/14","90900","-2600","-2.78","93900","93900","90900","2483441","227841495800","66175414978500","728002365"
"2022/11/11","93500","4400","4.94","95200","95300","92500","5002149","468889493882","68068221127500","728002365"
"2022/11/10","89100","-100","-0.11","89000","90800","88300","3856811","345585623552","64865010721500","728002365"
"2022/11/09","89200","1500","1.71","88100","89200","86600","2619752","231597454400","64937810958000","728002365"
"2022/11/08","87700","1200","1.39","87600","89000","87400","2799575","246892477700","63845807410500","728002365"
"2022/11/07","86500","2000","2.37","85400","86800","85000","2765284","238246097100","62972204572500","728002365"
"2022/11/04","84500","1800","2.18","82700","84600","81700","3032985","252333968000","61516199842500","728002365"
"2022/11/03","82700","-1800","-2.13","82600","83500","81900","2901380","240312463400","60205795585500","728002365"
"2022/11/02","84500","600","0.72","84200","85500","83600","2536363","215008401184","61516199842500","728002365"
"2022/11/01","83900","1200","1.45","82700","83900","81400","3820185","316973841612","61079398423500","728002365"
"2022/10/31","82700","-700","-0.84","84300","85400","82400","6271574","524946910700","60205795585500","728002365"
"2022/10/28","83400","-6600","-7.33","87100","87800","83000","7748514","658733740180","60715397241000","728002365"
"2022/10/27","90000","-3900","-4.15","95100","95100","89800","4550273","417479104112","65520212850000","728002365"
"2022/10/26","93900","400","0.43","93300","95500","93200","3310322","313156219700","68359422073500","728002365"
"2022/10/25","93500","1700","1.85","91900","94800","91000","2656194","248751488800","68068221127500","728002365"
"2022/10/24","91800","1300","1.44","92200","93100","91200","2165991","199715515400","66830617107000","728002365"
"2022/10/21","90500","300","0.33","89800","91400","89700","2206754","200305713600","65884214032500","728002365"
"2022/10/20","90200","-2700","-2.91","91000","91800","89000","4547678","409443868100","65665813323000","728002365"
"2022/10/19","92900","-2900","-3.03","94700","94900","92700","3684934","344615733005","67631419708500","728002365"
"2022/10/18","95800","600","0.63","95900","96200","94600","2618680","249330141200","69742626567000","728002365"
"2022/10/17","95200","-300","-0.31","94600","95300","94000","2134558","202198364600","69305825148000","728002365"
"2022/10/14","95500","600","0.63","96000","96600","94300","3516437","334828561464","69524225857500","728002365"
"2022/10/13","94900","900","0.96","93400","94900","92800","4390570","413619747582","69087424438500","728002365"
"2022/10/12","94000","3800","4.21","91000","94000","90900","4648231","430456023300","68432222310000","728002365"
"2022/10/11","90200","-1000","-1.10","89700","91200","88000","3840842","344912165400","65665813323000","728002365"
"2022/10/07","91200","1300","1.45","89600","91800","87800","3100583","280262013777","66393815688000","728002365"
"2022/10/06","89900","100","0.11","90900","92000","89800","3039698","275694996677","65447412613500","728002365"
"2022/10/05","89800","3600","4.18","90000","90400","88100","5927256","529349727543","65374612377000","728002365"
"2022/10/04","86200","3100","3.73","85200","87200","85200","4277404","369025972586","62753803863000","728002365"
"2022/09/30","83100","2300","2.85","80900","83900","80400","4711130","389466671870","60496996531500","728002365"
"2022/09/29","80800","-400","-0.49","82500","82900","80500","2064798","168860306500","58822591092000","728002365"
"2022/09/28","81200","-800","-0.98","81900","83500","80500","3068181","250759550200","59113792038000","728002365"
"2022/09/27","82000","-500","-0.61","82200","82700","80700","2606333","212481807800","59696193930000","728002365"
"2022/09/26","82500","-1000","-1.20","81500","83200","81500","3281145","270406192400","60060195112500","728002365"
"2022/09/23","83500","-2500","-2.91","85500","86600","83300","3932242","331082832100","60788197477500","728002365"
"2022/09/22","86000","-2000","-2.27","86300","86900","85900","2204430","190097055600","62608203390000","728002365"
"2022/09/21","88000","0","0.00","87500","88500","86300","2954420","258367974050","64064208120000","728002365"
"2022/09/20","88000","-2000","-2.22","89000","90600","87500","4259789","377081451100","64064208120000","728002365"
