Date,Institution,Individual,Foreign,Total
1999-01-04,-461684.0,78101.0,383584.0,0.0
1999-01-05,21212.0,-82190.0,60978.0,0.0
1999-01-06,-18162.0,-11325.0,29487.0,0.0
1999-01-07,-37797.0,-167771.0,205568.0,0.0
1999-01-08,54683.0,-130880.0,76197.0,0.0
1999-01-11,-69271.0,50933.0,18338.0,0.0
1999-01-12,-81985.0,115419.0,-33434.0,0.0
1999-01-13,-39165.0,65385.0,-26221.0,0.0
1999-01-14,65264.0,-52550.0,-12715.0,0.0
1999-01-15,-71150.0,73316.0,-2166.0,0.0
1999-01-18,-166561.0,125470.0,41091.0,0.0
1999-01-19,-107221.0,90389.0,16832.0,0.0
1999-01-20,-71232.0,-112293.0,183525.0,0.0
1999-01-21,-37762.0,-35312.0,73073.0,0.0
1999-01-22,-72579.0,43049.0,29531.0,0.0
1999-01-25,-92321.0,52585.0,39736.0,0.0
1999-01-26,-17430.0,-10663.0,28093.0,0.0
1999-01-27,-35828.0,-36309.0,72137.0,0.0
1999-01-28,-97082.0,2238.0,94845.0,0.0
1999-01-29,812.0,9174.0,-9987.0,0.0
1999-02-01,2916.0,-11889.0,8973.0,0.0
1999-02-02,-21495.0,2293.0,19202.0,0.0
1999-02-03,-54935.0,90519.0,-35584.0,0.0
1999-02-04,-29027.0,30336.0,-1309.0,0.0
1999-02-05,-30373.0,10419.0,19954.0,0.0
1999-02-08,-11579.0,-163.0,11741.0,0.0
1999-02-09,-17159.0,36135.0,-18976.0,0.0
1999-02-10,-46107.0,86054.0,-39947.0,0.0
1999-02-11,-35486.0,17286.0,18200.0,0.0
1999-02-12,19958.0,-55010.0,35052.0,0.0
1999-02-18,-62153.0,43973.0,18180.0,0.0
1999-02-19,-25657.0,70157.0,-44500.0,0.0
1999-02-22,22144.0,-551.0,-21593.0,0.0
1999-02-23,32527.0,-35897.0,3370.0,0.0
1999-02-24,47950.0,-88511.0,40561.0,0.0
1999-02-25,32729.0,-54444.0,21714.0,0.0
1999-02-26,516.0,-38279.0,37763.0,0.0
1999-03-02,59587.0,-114920.0,55333.0,0.0
1999-03-03,46762.0,-71515.0,24753.0,0.0
1999-03-04,-3756.0,11342.0,-7586.0,0.0
1999-03-05,65995.0,-40506.0,-25489.0,0.0
1999-03-08,94379.0,-105283.0,10904.0,0.0
1999-03-09,69711.0,-133246.0,63535.0,0.0
1999-03-10,81391.0,-94908.0,13517.0,0.0
1999-03-11,-78435.0,-17924.0,96358.0,0.0
1999-03-12,-14165.0,-57389.0,71555.0,0.0
1999-03-15,-105432.0,38427.0,67005.0,0.0
1999-03-16,-2433.0,-17448.0,19881.0,0.0
1999-03-17,-94470.0,34528.0,59942.0,0.0
1999-03-18,17296.0,-48175.0,30879.0,0.0
1999-03-19,50093.0,-61888.0,11795.0,0.0
1999-03-22,-91359.0,24412.0,66948.0,0.0
