일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/12/29","55300","-1300","-2.30","56000","56200","55300","11295935","628653753150","330128975015000","5969782550"
"2022/12/28","56600","-1500","-2.58","57600","57600","56400","14665410","832919426100","337889692330000","5969782550"
"2022/12/27","58100","200","0.35","58000","58400","57900","10667027","620410096800","346844366155000","5969782550"
"2022/12/26","57900","-200","-0.34","58000","58100","57700","6756411","391223170600","345650409645000","5969782550"
"2022/12/23","58100","-1000","-1.69","58200","58400","57700","9829407","570401785680","346844366155000","5969782550"
"2022/12/22","59100","1100","1.90","58100","59100","58100","10720630","628698962726","352814148705000","5969782550"
"2022/12/21","58000","-600","-1.02","58700","59100","58000","10356971","603985894600","346247387900000","5969782550"
"2022/12/20","58600","-900","-1.51","59000","59100","58500","9284761","545533294130","349829257430000","5969782550"
"2022/12/19","59500","0","0.00","59500","59900","59100","7696187","457558919300","355202061725000","5969782550"
"2022/12/16","59500","200","0.34","58300","59500","58300","13033596","769867746731","355202061725000","5969782550"
"2022/12/15","59300","-1200","-1.98","59800","60200","59300","8716039","519762171147","354008105215000","5969782550"
"2022/12/14","60500","800","1.34","59800","60600","59800","8207485","495209255105","361171844275000","5969782550"
"2022/12/13","59700","200","0.34","59600","60300","59400","9040873","539587782200","356396018235000","5969782550"
"2022/12/12","59500","-900","-1.49","59900","60000","59400","9036472","538557972800","355202061725000","5969782550"
"2022/12/09","60400","1200","2.03","59300","60600","59300","10529632","633777717900","360574866020000","5969782550"
"2022/12/08","59200","300","0.51","58700","59200","58600","12986815","766212023592","353411126960000","5969782550"
"2022/12/07","58900","-300","-0.51","58800","59600","58500","12100662","714083283900","351620192195000","5969782550"
"2022/12/06","59200","-1100","-1.82","59800","60100","59200","13888300","827339804388","353411126960000","5969782550"
"2022/12/05","60300","-100","-0.17","60900","61100","60000","13767787","832613739000","359977887765000","5969782550"
"2022/12/02","60400","-2200","-3.51","62500","62500","60400","15331184","935960853120","360574866020000","5969782550"
"2022/12/01","62600","400","0.64","63100","63200","62300","16631445","1044546161950","373708387630000","5969782550"
"2022/11/30","62200","1600","2.64","60400","62200","60200","19768903","1218354958444","371320474610000","5969782550"
"2022/11/29","60600","500","0.83","59900","60600","59800","7014160","422226001673","361768822530000","5969782550"
"2022/11/28","60100","-900","-1.48","60500","60500","59800","8589032","515486605100","358783931255000","5969782550"
"2022/11/25","61000","-400","-0.65","61400","61700","60800","6677933","407953216200","364156735550000","5969782550"
"2022/11/24","61400","400","0.66","61200","61700","60900","8125010","497273294550","366544648570000","5969782550"
"2022/11/23","61000","400","0.66","61200","61300","60700","8765050","534580211500","364156735550000","5969782550"
"2022/11/22","60600","-800","-1.30","60900","61200","60300","9411289","571460562800","361768822530000","5969782550"
"2022/11/21","61400","-400","-0.65","61400","61800","60800","9378097","573783339409","366544648570000","5969782550"
"2022/11/18","61800","400","0.65","61800","62400","61400","12236503","757454905470","368932561590000","5969782550"
"2022/11/17","61400","-1300","-2.07","62000","62000","61300","13298296","819118806800","366544648570000","5969782550"
"2022/11/16","62700","300","0.48","62400","62700","61700","12909260","804219667250","374305365885000","5969782550"
"2022/11/15","62400","500","0.81","62200","62500","61600","12310986","764117239743","372514431120000","5969782550"
"2022/11/14","61900","-1000","-1.59","62900","62900","61700","15973416","993352234080","369529539845000","5969782550"
"2022/11/11","62900","2500","4.14","63100","63200","62300","20037163","1257129641861","375499322395000","5969782550"
"2022/11/10","60400","-1600","-2.58","61400","61500","60400","21087633","1283005045328","360574866020000","5969782550"
"2022/11/09","62000","200","0.32","62000","62200","61300","14045592","869644724000","370126518100000","5969782550"
"2022/11/08","61800","1600","2.66","60500","61900","60500","18273898","1123976801804","368932561590000","5969782550"
"2022/11/07","60200","800","1.35","59700","60300","59400","12437246","747350127100","359380909510000","5969782550"
"2022/11/04","59400","200","0.34","59100","59500","58400","12445841","734525784600","354605083470000","5969782550"
"2022/11/03","59200","-400","-0.67","58600","59800","58100","17492162","1029199659366","353411126960000","5969782550"
"2022/11/02","59600","-400","-0.67","59700","60000","59300","13202919","787057605000","355799039980000","5969782550"
