날짜,시간,국가,경제지표,실제,예상,이전,중요도
01.20 (Fri), 16:00,gb,월간 소매 판매 Dec,-1%,0.5%,-0.5%,상
01.20 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Jan,-45,-40,-42,상
01.19 (Thu), 22:30,us,건축 허가 사전 Dec,1.33M,1.37M,1.351M,상
01.18 (Wed), 22:30,us,월간 소매 판매 Dec,-1.1%,-0.8%,-1%,상
01.18 (Wed), 22:30,us,생산자물가지수 (MoM) Dec,-0.5%,-0.1%,0.2%,상
01.18 (Wed), 16:00,gb,인플레이션율(YoY) Dec,10.5%,10.5%,10.7%,상
01.17 (Tue), 16:00,gb,실업률 Nov,3.7%,3.7%,3.7%,상
01.17 (Tue), 16:00,gb,실업수당청구 변동 Dec,19.7K,,16.1K,상
01.17 (Tue), 11:00,cn,경제성장률(YoY) Q4,2.9%,1.8%,3.9%,상
01.17 (Tue), 11:00,cn,산업생산 (YOY) Dec,1.3%,0.2%,2.2%,상
01.14 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Jan,64.6,60.5,59.7,상
01.13 (Fri), 16:00,gb,GDP(MoM) Nov,0.1%,-0.2%,0.5%,상
01.13 (Fri), 12:00,cn,무역수지 Dec,$78B,$76.2B,$69.25B,상
01.12 (Thu), 22:30,us,핵심물가상승률 (YoY) Dec,5.7%,5.7%,6%,상
01.12 (Thu), 22:30,us,인플레이션율(YoY) Dec,6.5%,6.5%,7.1%,상
01.12 (Thu), 10:30,cn,인플레이션율(YoY) Dec,1.8%,1.8%,1.6%,상
01.07 (Sat), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) Dec,49.6,55,56.5,상
01.06 (Fri), 22:30,us,실업률 Dec,3.5%,3.7%,3.6%,상
01.06 (Fri), 22:30,us,비 농장 급여 Dec,223K,200K,256K,상
01.05 (Thu), 22:30,us,무역수지 Nov,$-61.5B,$-73B,$-77.8B,상
01.05 (Thu), 04:00,us,FOMC 회의록 ,,,,상
01.05 (Thu), 00:00,us,구인·이직 보고서(JOLT) 채용공고 Nov,10.458M,10M,10.512M,상
01.05 (Thu), 00:00,us,ISM 제조업 PMI Dec,48.4,48.5,49,상
01.03 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Dec,49,48.8,49.4,상
12.31 (Sat), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Dec,47,48,48,상
12.23 (Fri), 22:30,us,내구재 주문 (월간) Nov,-2.1%,-0.6%,0.7%,상
12.23 (Fri), 22:30,us,개인소비 Nov,0.1%,0.2%,0.9%,상
12.23 (Fri), 22:30,us,개인소득 (MoM) Nov,0.4%,0.3%,0.7%,상
12.20 (Tue), 22:30,us,건축 허가 사전 Nov,1.342M,1.485M,1.512M,상
12.16 (Fri), 16:00,gb,월간 소매 판매 Nov,-0.4%,0.3%,0.9%,상
12.16 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Dec,-42,-43,-44,상
12.15 (Thu), 22:30,us,월간 소매 판매 Nov,-0.6%,-0.1%,1.3%,상
12.15 (Thu), 21:00,gb,영란은행 기준금리 결정 ,3.5%,3.5%,3%,상
12.15 (Thu), 11:00,cn,산업생산 (YOY) Nov,2.2%,3.6%,5%,상
12.15 (Thu), 04:30,us,연준 기자 회견 ,,,,상
12.15 (Thu), 04:00,us,FOMC 경제 예측 ,,,,상
12.15 (Thu), 04:00,us,연준 기준금리 결정 ,4.5%,4.5%,4%,상
12.14 (Wed), 16:00,gb,인플레이션율(YoY) Nov,10.7%,10.9%,11.1%,상
12.13 (Tue), 22:30,us,핵심물가상승률 (YoY) Nov,6%,6.1%,6.3%,상
12.13 (Tue), 22:30,us,인플레이션율(YoY) Nov,7.1%,7.3%,7.7%,상
12.13 (Tue), 16:00,gb,실업수당청구 변동 Nov,30.5K,3.5K,-6.4K,상
12.12 (Mon), 16:00,gb,GDP(MoM) Oct,0.5%,0.4%,-0.6%,상
12.10 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Dec,59.1,56.9,56.8,상
12.09 (Fri), 22:30,us,생산자물가지수 (MoM) Nov,0.3%,0.2%,0.3%,상
12.09 (Fri), 10:30,cn,인플레이션율(YoY) Nov,1.6%,1.6%,2.1%,상
12.07 (Wed), 12:00,cn,무역수지 Nov,$69.84B,$78.1B,$85.15B,상
12.06 (Tue), 22:30,us,무역수지 Oct,$-78.2B,$-80B,$-74.1B,상
12.06 (Tue), 00:00,us,ISM 비제조업 구매자관리자지수(PMI) Nov,56.5,53.3,54.4,상
12.02 (Fri), 22:30,us,비 농장 급여 Nov,263K,200K,284K,상
12.02 (Fri), 22:30,us,실업률 Nov,3.7%,3.7%,3.7%,상
12.02 (Fri), 00:00,us,ISM 제조업 PMI Nov,49,49.8,50.2,상
12.01 (Thu), 22:30,us,개인소득 (MoM) Oct,0.7%,0.4%,0.4%,상
12.01 (Thu), 22:30,us,개인소비 Oct,0.8%,0.8%,0.6%,상
12.01 (Thu), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Nov,49.4,48.9,49.2,상
12.01 (Thu), 03:30,us,연준 의장 파월 연설 ,,,,상
12.01 (Thu), 00:00,us,구인·이직 보고서(JOLT) 채용공고 Oct,10.334M,10.3M,10.687M,상
11.30 (Wed), 22:30,us,경제성장률(QoQ) 2차 추정치 Q3,2.9%,2.7%,-0.6%,상
11.30 (Wed), 22:15,us,ADP 고용변화 Nov,127K,200K,239K,상
11.30 (Wed), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Nov,48,49,49.2,상
11.24 (Thu), 04:00,us,FOMC 회의록 ,,,,상
11.24 (Thu), 00:00,us,신규주택판매 Oct,0.632M,0.57M,0.588M,상
11.23 (Wed), 22:30,us,내구재 주문 (월간) Oct,1%,0.4%,0.3%,상
11.19 (Sat), 00:00,us,기존주택판매 Oct,4.43M,4.38M,4.71M,상
11.18 (Fri), 16:00,gb,월간 소매 판매 Oct,0.6%,0.3%,-1.5%,상
11.18 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Nov,-44,,-47,상
11.17 (Thu), 22:30,us,건축 허가 사전 Oct,1.526M,,1.564M,상
11.17 (Thu), 22:30,us,신규주택착공 Oct,1.425M,1.41M,1.488M,상
11.17 (Thu), 21:00,gb,UK Autumn Statement,,,,상
11.16 (Wed), 22:30,us,월간 소매 판매 Oct,1.3%,1%,0%,상
11.16 (Wed), 16:00,gb,인플레이션율(YoY) Oct,11.1%,10.7%,10.1%,상
11.15 (Tue), 22:30,us,생산자물가지수 (MoM) Oct,0.2%,0.4%,0.2%,상
11.15 (Tue), 16:00,gb,실업수당청구 변동 Oct,3.3K,,3.9K,상
11.15 (Tue), 16:00,gb,실업률 Sep,3.6%,3.5%,3.5%,상
11.15 (Tue), 11:00,cn,산업생산 (YOY) Oct,5%,5.2%,6.3%,상
11.12 (Sat), 00:00,us,미시건대 소비자신뢰지수 예상 Nov,54.7,59.5,59.9,상
11.11 (Fri), 16:00,gb,경제성장률(QoQ) 예상 Q3,-0.2%,-0.5%,0.2%,상
11.11 (Fri), 16:00,gb,경제성장률(YoY) 예상 Q3,2.4%,2.1%,4.4%,상
11.11 (Fri), 16:00,gb,GDP(MoM) Sep,-0.6%,-0.4%,-0.1%,상
11.10 (Thu), 22:30,us,핵심물가상승률 (YoY) Oct,6.3%,6.5%,6.6%,상
11.10 (Thu), 22:30,us,인플레이션율(YoY) Oct,7.7%,8%,8.2%,상
11.09 (Wed), 10:30,cn,인플레이션율(YoY) Oct,2.1%,2.4%,2.8%,상
11.07 (Mon), 12:00,cn,무역수지 Oct,$85.15B,$95.95B,$84.74B,상
11.04 (Fri), 21:30,us,실업률 Oct,3.7%,3.6%,3.5%,상
11.04 (Fri), 21:30,us,비 농장 급여 Oct,261K,200K,315K,상
11.03 (Thu), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) Oct,54.4,55.5,56.7,상
11.03 (Thu), 21:30,us,무역수지 Sep,$-73.3B,$-72.2B,$-65.7B,상
11.03 (Thu), 21:00,gb,영란은행 기준금리 결정 ,3%,3%,2.25%,상
11.03 (Thu), 03:30,us,연준 기자 회견 ,,,,상
11.03 (Thu), 03:00,us,연준 기준금리 결정 ,4%,4%,3.25%,상
11.02 (Wed), 21:15,us,ADP 고용변화 Oct,239K,195K,192K,상
11.01 (Tue), 23:00,us,구인·이직 보고서(JOLT) 채용공고 Sep,10.717M,10M,10.28M,상
11.01 (Tue), 23:00,us,ISM 제조업 PMI Oct,50.2,50,50.9,상
11.01 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Oct,49.2,49,48.1,상
10.31 (Mon), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) Oct,49.2,50,50.1,상
10.28 (Fri), 21:30,us,개인소비 Sep,0.6%,0.4%,0.6%,상
10.28 (Fri), 21:30,us,개인소득 (MoM) Sep,0.4%,0.3%,0.4%,상
10.27 (Thu), 21:30,us,내구재 주문 (월간) Sep,0.4%,0.6%,0.2%,상
10.27 (Thu), 21:30,us,경제성장률(QoQ) 추정 Q3,2.6%,2.4%,-0.6%,상
10.26 (Wed), 23:00,us,신규주택판매 Sep,0.603M,0.585M,0.677M,상
10.24 (Mon), 11:00,cn,무역수지 Sep,$84.74B,$81B,$79.39B,상
10.24 (Mon), 10:45,cn,경제성장률(YoY) Q3,3.9%,3.4%,0.4%,상
10.24 (Mon), 10:45,cn,산업생산 (YOY) Sep,6.3%,4.5%,4.2%,상
10.22 (Sat), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.21 (Fri), 15:00,gb,월간 소매 판매 Sep,-1.4%,-0.5%,-1.7%,상
10.21 (Fri), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.21 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Oct,-47,-52,-49,상
10.20 (Thu), 23:00,us,기존주택판매 Sep,4.71M,4.7M,4.78M,상
10.20 (Thu), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.19 (Wed), 21:30,us,건축허가 Sep,1.564M,1.53M,1.542M,상
10.19 (Wed), 21:30,us,신규주택착공 Sep,1.439M,1.475M,1.566M,상
10.19 (Wed), 15:00,gb,인플레이션율(YoY) Sep,10.1%,10%,9.9%,상
10.19 (Wed), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.18 (Tue), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.17 (Mon), 19:15,gb,Chancellor Jeremy Hunt Statement,,,,상
10.17 (Mon), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.16 (Sun), 09:00,cn,중국공산당 제20차 전국대표대회 ,,,,상
10.14 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Oct,59.8,59,58.6,상
10.14 (Fri), 22:30,gb,PM Liz Truss Speech,,,,상
10.14 (Fri), 21:30,us,월간 소매 판매 Sep,0.0%,0.2%,0.4%,상
10.14 (Fri), 10:30,cn,인플레이션율(YoY) Sep,2.8%,2.8%,2.5%,상
10.13 (Thu), 21:30,us,인플레이션율(YoY) Sep,8.2%,8.1%,8.3%,상
10.13 (Thu), 21:30,us,핵심물가상승률 (YoY) Sep,6.6%,6.5%,6.3%,상
10.13 (Thu), 03:00,us,FOMC 회의록 ,,,,상
10.12 (Wed), 21:30,us,생산자물가지수 (MoM) Sep,0.4%,0.2%,-0.2%,상
10.12 (Wed), 15:00,gb,GDP(MoM) Aug,-0.3%,0%,0.1%,상
10.11 (Tue), 15:00,gb,실업수당청구 변동 Sep,25.5K,,6.3K,상
10.11 (Tue), 15:00,gb,실업률 Aug,3.5%,3.6%,3.6%,상
10.07 (Fri), 21:30,us,비 농장 급여 Sep,263K,250K,315K,상
10.07 (Fri), 21:30,us,실업률 Sep,3.5%,3.7%,3.7%,상
