"螟沥斥档","螟沥家疙","捞魂拳龙家丑档(ppm)","坷粮丑档(ppm)","老魂拳藕家丑档(ppm)","酒炔魂啊胶(ppm)","固技刚瘤(Ф/З)","檬固技刚瘤(Ф/З)"
"2023","碍巢备","0.036","0.015","0.6","0.004","44","29"
"2023","碍巢措肺","0.04","0.01","0.9","0.004","48","32"
"2023","碍悼备","0.031","0.012","0.6","0.003","48","34"
"2023","碍函合肺","0.043","0.01","0.8","0.003","47","33"
"2023","碍合备","0.03","0.018","0.7","0.003","44","28"
"2023","碍辑备","0.038","0.015","0.8","0.004","56","32"
"2023","傍亲措肺","0.04","0.011","0.7","0.003","49","32"
"2023","包厩备","0.04","0.013","0.7","0.003","47","29"
"2023","包厩魂","0.013","0.035","0.3","0.004","35","22"
"2023","堡柳备","0.022","0.012","0.8","0.002","44","30"
"2023","备肺备","0.032","0.013","0.5","0.003","48","31"
"2023","陛玫备","0.034","0.015","0.6","0.004","42","33"
"2023","巢魂","0.029","0.017","0.9","0.004","41","30"
"2023","畴盔备","0.042","0.015","0.7","0.004","46","34"
"2023","档豪备","0.03","0.019","0.7","0.003","38","27"
"2023","档魂措肺","0.039","0.01","0.9","0.004","46","32"
"2023","悼措巩备","0.035","0.015","0.7","0.004","43","29"
"2023","悼累备","0.039","0.013","0.6","0.003","47","33"
"2023","悼累措肺","0.043","0.012","0.8","0.003","51","32"
"2023","付器备","0.038","0.012","0.7","0.004","37","35"
"2023","付器酒飘季磐","0.038","0.016","0.7","0.004","46","30"
"2023","合茄魂","0.011","0.029","0.3","0.003","32","23"
"2023","辑措巩备","0.035","0.015","0.8","0.006","43","28"
"2023","辑匡剑","0.036","0.014","0.6","0.004","45","28"
"2023","辑檬备","0.037","0.013","0.5","0.003","46","30"
"2023","己悼备","0.038","0.013","0.6","0.004","46","26"
"2023","己合备","0.04","0.013","0.8","0.004","40","29"
"2023","技邦","0.036","0.013","0.9","0.005","47","31"
"2023","价颇备","0.039","0.012","0.7","0.003","44","30"
"2023","矫蕊措肺","0.044","0.011","0.7","0.004","43","24"
"2023","脚锰肺","0.044","0.009","0.8","0.004","53","37"
"2023","剧玫备","0.036","0.012","0.7","0.003","50","36"
"2023","康殿器备","0.039","0.013","0.7","0.004","47","33"
"2023","康殿器肺","0.042","0.011","0.8","0.004","48","35"
"2023","棵覆侨傍盔","0.035","0.019","0.8","0.003","43","33"
"2023","侩魂备","0.032","0.014","0.7","0.004","41","30"
"2023","篮乞备","0.028","0.016","0.8","0.004","41","26"
"2023","磊楷荤冠拱包","0.034","0.017","0.5","0.004","40","27"
"2023","沥釜肺","0.043","0.009","0.8","0.004","47","33"
"2023","辆肺","0.038","0.013","0.8","0.004","43","26"
"2023","辆肺备","0.036","0.014","0.7","0.004","43","34"
"2023","吝备","0.038","0.018","0.7","0.004","44","37"
"2023","吝尔备","0.037","0.014","0.6","0.003","43","32"
