측정일시,권역명,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20180101,동남권,강남구,0.034,0.009,0.6,0.006,34,22
20180101,동남권,강동구,0.039,0.01,0.7,0.005,49,24
20180101,동북권,강북구,0.026,0.018,0.6,0.004,38,18
20180101,서남권,강서구,0.038,0.011,0.7,0.004,,13
20180101,서남권,관악구,0.037,0.008,0.5,0.008,38,24
20180101,동북권,광진구,0.038,0.012,0.7,0.005,42,22
20180101,서남권,구로구,0.025,0.008,0.6,0.007,48,28
20180101,서남권,금천구,0.037,0.01,0.6,0.005,39,21
20180101,동북권,노원구,0.034,0.011,0.8,0.007,42,21
20180101,동북권,도봉구,0.03,0.016,0.6,0.006,45,22
20180101,동북권,동대문구,0.032,0.013,0.6,0.006,46,21
20180101,서남권,동작구,0.036,0.012,0.6,0.005,40,19
20180101,서북권,마포구,0.034,0.011,0.6,0.006,39,21
20180101,서북권,서대문구,,,,,,
20180101,동남권,서초구,0.031,0.01,0.6,0.005,49,24
20180101,동북권,성동구,0.033,0.009,,0.006,48,23
20180101,동북권,성북구,0.041,0.01,0.7,0.007,43,19
20180101,동남권,송파구,0.028,0.012,0.7,0.005,53,23
20180101,서남권,양천구,0.037,0.008,0.7,0.005,37,21
20180101,서남권,영등포구,0.031,0.01,0.7,0.007,48,24
20180101,도심권,용산구,0.029,0.011,0.3,0.005,39,18
20180101,서북권,은평구,0.015,0.014,0.7,0.003,41,21
20180101,도심권,종로구,0.03,0.015,0.6,0.007,34,17
20180101,도심권,중구,0.029,0.015,0.6,0.005,33,18
20180101,동북권,중랑구,0.037,0.01,0.7,0.007,48,23
20180102,동남권,강남구,0.038,0.008,0.7,0.006,33,25
20180102,동남권,강동구,0.04,0.01,0.8,0.005,46,25
20180102,동북권,강북구,0.027,0.021,0.6,0.004,31,16
20180102,서남권,강서구,0.036,0.012,0.7,0.004,22,15
20180102,서남권,관악구,0.041,0.007,0.6,0.007,37,24
20180102,동북권,광진구,0.042,0.011,0.8,0.006,43,25
20180102,서남권,구로구,0.024,0.007,0.8,0.007,45,29
20180102,서남권,금천구,0.039,0.01,0.7,0.005,38,24
20180102,동북권,노원구,0.032,0.015,0.8,0.006,40,22
20180102,동북권,도봉구,0.032,0.016,0.8,0.004,42,22
20180102,동북권,동대문구,0.042,0.012,0.7,0.006,43,21
20180102,서남권,동작구,0.044,0.011,0.8,0.004,42,24
20180102,서북권,마포구,0.042,0.01,0.9,0.005,40,24
20180102,서북권,서대문구,,,,,,
20180102,동남권,서초구,0.031,0.01,0.7,0.006,49,26
20180102,동북권,성동구,0.032,0.009,0.6,0.005,42,23
20180102,동북권,성북구,0.04,0.012,0.9,0.006,42,20
20180102,동남권,송파구,0.033,0.011,0.8,0.005,52,27
20180102,서남권,양천구,0.038,0.008,0.7,0.005,38,24
20180102,서남권,영등포구,0.036,0.009,0.8,0.007,47,25
20180102,도심권,용산구,0.037,0.01,0.5,0.005,38,21
20180102,서북권,은평구,0.023,0.014,0.8,0.004,40,21
20180102,도심권,종로구,0.043,0.01,0.9,0.007,35,22
20180102,도심권,중구,0.036,0.012,0.8,0.005,32,20
20180102,동북권,중랑구,0.041,0.009,0.8,0.006,45,22
20180103,동남권,강남구,0.027,0.01,0.5,0.006,28,20
20180103,동남권,강동구,0.027,0.015,0.5,0.005,39,21
20180103,동북권,강북구,0.016,0.026,0.5,0.004,30,15
20180103,서남권,강서구,0.02,0.02,0.4,0.004,34,15
20180103,서남권,관악구,0.025,0.012,0.3,0.007,30,18
20180103,동북권,광진구,0.026,0.017,0.5,0.004,34,18
20180103,서남권,구로구,0.016,0.012,0.4,0.006,39,23
20180103,서남권,금천구,0.026,0.016,0.5,0.005,33,19
20180103,동북권,노원구,0.018,0.022,0.5,0.006,36,19
20180103,동북권,도봉구,0.015,0.023,0.4,0.006,34,20
20180103,동북권,동대문구,0.024,0.017,0.5,0.006,37,19
20180103,서남권,동작구,0.026,0.015,0.4,0.004,39,18
20180103,서북권,마포구,0.022,0.017,0.5,0.005,33,19
20180103,서북권,서대문구,,,,,,
20180103,동남권,서초구,0.019,0.016,0.4,0.005,40,20
20180103,동북권,성동구,0.024,0.014,0.5,0.005,37,21
20180103,동북권,성북구,0.024,0.017,0.5,0.006,37,17
20180103,동남권,송파구,0.022,0.016,0.4,0.004,40,20
20180103,서남권,양천구,0.022,0.015,0.5,0.004,32,18
20180103,서남권,영등포구,0.024,0.012,0.6,0.007,39,21
20180103,도심권,용산구,0.025,0.013,0.3,0.005,36,17
20180103,서북권,은평구,0.024,0.02,0.7,0.005,39,22
20180103,도심권,종로구,0.025,0.016,0.6,0.007,31,19
20180103,도심권,중구,0.021,0.018,0.5,0.005,30,18
20180103,동북권,중랑구,0.025,0.015,0.5,0.006,39,21
20180104,동남권,강남구,0.038,0.007,0.6,0.006,35,26
20180104,동남권,강동구,0.037,0.011,0.6,0.005,56,29
20180104,동북권,강북구,0.032,0.014,0.6,0.004,39,21
20180104,서남권,강서구,0.034,0.01,0.5,0.004,61,27
20180104,서남권,관악구,0.039,0.006,0.4,0.007,41,27
20180104,동북권,광진구,0.034,0.014,0.5,0.005,44,25
20180104,서남권,구로구,0.025,0.007,0.6,0.006,49,29
20180104,서남권,금천구,0.039,0.009,0.6,0.005,42,26
20180104,동북권,노원구,0.032,0.013,0.6,0.006,48,26
20180104,동북권,도봉구,0.036,0.011,0.6,0.005,49,27
20180104,동북권,동대문구,0.04,0.01,0.6,0.006,48,23
20180104,서남권,동작구,0.043,0.009,0.7,0.005,49,27
20180104,서북권,마포구,0.036,0.008,0.7,0.005,45,26
20180104,서북권,서대문구,,,,,,
