"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"202301081900","강북구","0.041","0.007","1.1","0.003","126","53"
"202301081900","서대문구","0.043","0.009","0.8","0.004","120","51"
"202301081900","양천구","0.041","0.007","0.7","0.004","113","43"
"202301081900","금천구","0.024","0.018","0.6","0.003","77","33"
"202301081900","성북구","0.038","0.014","0.7","0.003","121","61"
"202301081900","관악구","0.05","0.006","0.9","0.003","108","38"
"202301081900","종로구","0.036","0.016","0.7","0.003","119","59"
"202301081900","노원구","0.047","0.013","0.8","0.003","124","56"
"202301081900","강동구","0.036","0.007","0.7","0.003","123","65"
"202301081900","광진구","0.018","0.019","0.9","0.002","118","53"
"202301081900","중구","0.04","0.018","0.7","0.004","120","60"
"202301081900","강남구","0.046","0.007","0.7","0.003","112","55"
"202301081900","영등포구","0.049","0.005","0.8","0.003","119","62"
"202301081900","동대문구","0.04","0.011","0.8","0.003","111","50"
"202301081900","송파구","0.046","0.006","1","0.003","122","66"
"202301081900","성동구","0.033","0.015","0.7","0.003","116","44"
"202301081900","은평구","0.038","0.008","1.1","0.003","117","51"
"202301081900","마포구","0.05","0.005","0.9","0.005","105","58"
"202301081900","도봉구","0.031","0.019","0.8","0.003","112","51"
"202301081900","강서구","0.05","0.003","0.9","0.003","125","41"
"202301081900","중랑구","0.032","0.022","0.7","0.003","114","59"
"202301081900","동작구","0.053","0.005","0.8","0.003","124","57"
"202301081900","서초구","0.041","0.008","0.6","0.003","115","57"
"202301081900","구로구","0.039","0.008","0.5","0.003","112","47"
"202301081900","용산구","0.039","0.007","0.7","0.003","118","49"
"202301081800","구로구","0.026","0.018","0.4","0.003","102","32"
"202301081800","서초구","0.04","0.008","0.6","0.003","115","54"
"202301081800","관악구","0.028","0.019","0.6","0.003","100","29"
"202301081800","용산구","0.033","0.013","0.6","0.003","119","49"
"202301081800","금천구","0.027","0.021","0.5","0.003","88","35"
"202301081800","성북구","0.036","0.016","0.7","0.003","120","53"
"202301081800","강북구","0.04","0.011","1","0.003","135","52"
"202301081800","서대문구","0.041","0.011","0.7","0.004","110","46"
"202301081800","강서구","0.032","0.019","0.6","0.003","118","32"
"202301081800","동작구","0.051","0.006","0.7","0.003","125","52"
"202301081800","은평구","0.04","0.008","1","0.003","121","52"
"202301081800","성동구","0.03","0.019","0.6","0.003","116","46"
"202301081800","송파구","0.038","0.013","0.8","0.003","120","57"
"202301081800","동대문구","0.038","0.013","0.7","0.004","111","46"
"202301081800","도봉구","0.03","0.021","0.7","0.002","107","49"
"202301081800","강남구","0.04","0.013","0.7","0.003","110","50"
"202301081800","중구","0.046","0.015","0.7","0.004","123","57"
"202301081800","영등포구","0.05","0.004","0.8","0.003","112","54"
"202301081800","종로구","0.041","0.013","0.7","0.003","122","58"
"202301081800","광진구","0.02","0.015","0.9","0.002","116","48"
"202301081800","강동구","0.029","0.012","0.7","0.003","125","62"
"202301081800","노원구","0.047","0.013","0.8","0.003","123","53"
"202301081800","중랑구","0.026","0.027","0.6","0.003","109","54"
"202301081800","마포구","0.048","0.008","0.8","0.005","101","50"
"202301081800","양천구","0.03","0.016","0.5","0.003","108","35"
"202301081700","성북구","0.036","0.017","0.7","0.003","125","56"
"202301081700","광진구","0.017","0.02","0.8","0.002","121","47"
"202301081700","중랑구","0.025","0.028","0.6","0.003","116","52"
"202301081700","서초구","0.04","0.01","0.6","0.003","116","56"
"202301081700","마포구","0.038","0.014","0.6","0.005","100","49"
"202301081700","강서구","0.024","0.027","0.5","0.004","121","35"
"202301081700","종로구","0.037","0.015","0.7","0.004","125","58"
"202301081700","서대문구","0.037","0.015","0.7","0.005","106","44"
"202301081700","양천구","0.024","0.022","0.5","0.003","106","33"
"202301081700","금천구","0.027","0.025","0.5","0.003","93","34"
"202301081700","용산구","0.031","0.017","0.6","0.003","124","45"
"202301081700","동작구","0.043","0.013","0.6","0.004","127","52"
"202301081700","노원구","0.037","0.02","0.7","0.003","134","60"
"202301081700","은평구","0.033","0.015","0.9","0.003","110","39"
"202301081700","영등포구","0.031","0.019","0.6","0.003","99","40"
"202301081700","구로구","0.022","0.021","0.3","0.003","97","34"
"202301081700","중구","0.042","0.017","0.7","0.003","119","52"
"202301081700","강남구","0.036","0.016","0.6","0.003","122","54"
"202301081700","송파구","0.033","0.018","0.7","0.002","128","58"
"202301081700","강북구","0.039","0.016","0.8","0.003","146","60"
