"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"202003312300","100","도심권","111123","종로구","47","48","22","0.036","0.018","0.4","0.004"
"202003312300","100","도심권","111131","용산구","55","52","21","0.024","0.033","0.5","0.003"
"202003312300","100","도심권","111121","중구","43","43","24","0.034","0.02","0.4","0.003"
"202003312300","101","서북권","111181","은평구","51","54","18","0.047","0.01","0.3","0.003"
"202003312300","101","서북권","111191","서대문구","58","57","21","0.047","0.012","0.6","0.003"
"202003312300","101","서북권","111201","마포구","45","40","22","0.011","0.05","0.5","0.004"
"202003312300","102","동북권","111141","광진구","53","52","24","0.021","0.034","0.6","0.003"
"202003312300","102","동북권","111311","노원구","57","53","25","0.011","0.047","0.7","0.004"
"202003312300","102","동북권","111151","중랑구","51","51","23","0.023","0.037","0.6","0.003"
"202003312300","102","동북권","111171","도봉구","48","47","18","0.05","0.013","0.4","0.003"
"202003312300","102","동북권","111161","성북구","49","51","21","0.024","0.042","0.5","0.003"
"202003312300","102","동북권","111142","성동구","44","45","24","0.025","0.038","0.5","0.004"
"202003312300","102","동북권","111291","강북구","55","55","23","0.037","0.03","0.5","0.003"
"202003312300","102","동북권","111152","동대문구","42","44","17","0.039","0.022","0.5","0.003"
"202003312300","103","서남권","111241","동작구","50","54","24","0.012","0.054","0.5","0.003"
"202003312300","103","서남권","111231","영등포구","39","42","20","0.023","0.036","0.5","0.004"
"202003312300","103","서남권","111212","강서구","50","47","20","0.023","0.037","0.5","0.008"
"202003312300","103","서남권","111251","관악구","44","44","21","0.02","0.042","0.5","0.004"
"202003312300","103","서남권","111301","양천구","50","46","20","0.026","0.033","0.6","0.005"
"202003312300","103","서남권","111221","구로구","54","53","22","0.032","0.043","0.4","0.003"
"202003312300","103","서남권","111281","금천구","41","44","23","0.002","0.065","0.7","0.004"
"202003312300","104","동남권","111261","강남구","41","43","27","0.02","0.046","0.6","0.004"
"202003312300","104","동남권","111262","서초구","51","51","25","0.032","0.035","0.3","0.004"
"202003312300","104","동남권","111274","강동구","48","48","20","0.019","0.039","0.5","0.003"
"202003312300","104","동남권","111273","송파구","49","47","23","0.02","0.044","0.5","0.004"
"202003312200","100","도심권","111131","용산구","50","51","21","0.026","0.034","0.5","0.003"
"202003312200","100","도심권","111121","중구","40","43","22","0.033","0.023","0.4","0.003"
"202003312200","100","도심권","111123","종로구","44","48","21","0.038","0.016","0.4","0.004"
