측정일시,권역명,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20190101,동남권,강남구,0.027,0.013,0.6,0.005,35,30
20190101,동남권,강동구,0.037,0.012,0.7,0.005,40,30
20190101,동북권,강북구,0.024,0.02,0.6,0.003,44,28
20190101,서남권,강서구,0.029,0.017,0.5,0.005,46,24
20190101,서남권,관악구,0.035,0.016,0.5,0.005,39,28
20190101,동북권,광진구,0.034,0.011,1.1,0.004,35,24
20190101,서남권,구로구,0.027,0.017,0.4,0.006,33,16
20190101,서남권,금천구,0.033,0.015,0.6,0.004,33,24
20190101,동북권,노원구,0.031,0.014,0.7,0.005,42,30
20190101,동북권,도봉구,0.024,0.019,1.2,0.004,34,23
20190101,동북권,동대문구,0.031,0.016,0.7,0.007,35,29
20190101,서남권,동작구,0.033,0.016,0.5,0.003,42,27
20190101,서북권,마포구,0.022,0.015,0.5,0.003,41,17
20190101,서북권,서대문구,0.027,0.017,0.9,0.005,36,25
20190101,동남권,서초구,0.031,0.016,0.4,0.004,35,19
20190101,동북권,성동구,0.031,0.016,0.6,0.003,44,27
20190101,동북권,성북구,0.036,0.016,0.8,0.004,36,20
20190101,동남권,송파구,0.04,0.012,0.7,0.004,42,27
20190101,서남권,양천구,0.032,0.014,0.6,0.002,44,27
20190101,서남권,영등포구,0.023,0.015,0.7,0.005,38,27
20190101,도심권,용산구,0.032,0.014,0.6,0.003,30,24
20190101,서북권,은평구,0.023,0.02,0.9,0.005,33,22
20190101,도심권,종로구,0.031,0.017,0.7,0.004,34,21
20190101,도심권,중구,0.03,0.02,0.6,0.003,36,25
20190101,동북권,중랑구,0.03,0.014,0.7,0.007,34,25
20190102,동남권,강남구,0.033,0.009,0.6,0.006,32,26
20190102,동남권,강동구,0.042,0.008,0.7,0.005,35,26
20190102,동북권,강북구,0.028,0.017,0.6,0.003,38,24
20190102,서남권,강서구,0.037,0.014,0.6,0.006,42,23
20190102,서남권,관악구,0.046,0.012,0.6,0.006,38,26
20190102,동북권,광진구,0.04,0.007,1.1,0.004,32,21
