"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201911302300","100","도심권","111123","종로구","45","46","39","0.007","0.043","0.6","0.005"
"201911302300","100","도심권","111121","중구","46","47","36","0.002","0.052","0.7","0.005"
"201911302300","100","도심권","111131","용산구","45","46","40","0.002","0.058","0.6","0.004"
"201911302300","101","서북권","111181","은평구","53","56","29","0.008","0.046","0.7","0.006"
"201911302300","101","서북권","111201","마포구","64","58","44","0.002","0.061","0.8","0.005"
"201911302300","101","서북권","111191","서대문구","42","50","24","0.008","0.041","0.6","0.006"
"201911302300","102","동북권","111141","광진구","32","37","27","0.005","0.041","0.7","0.002"
"201911302300","102","동북권","111142","성동구","37","41","26","0.005","0.049","0.5","0.004"
"201911302300","102","동북권","111291","강북구","41","49","27","0.006","0.042","0.7","0.003"
"201911302300","102","동북권","111311","노원구","35","39","31","0.005","0.05","0.6","0.005"
"201911302300","102","동북권","111151","중랑구","33","48","16","0.013","0.037","0.5","0.004"
"201911302300","102","동북권","111152","동대문구","51","53","31","0.007","0.041","0.6","0.004"
"201911302300","102","동북권","111171","도봉구","32","39","20","0.02","0.025","0.5","0.002"
"201911302300","102","동북권","111161","성북구","37","47","15","0.018","0.031","0.4","0.003"
"201911302300","103","서남권","111251","관악구","50","52","33","0.003","0.061","0.7","0.005"
"201911302300","103","서남권","111281","금천구","51","45","40","0.002","0.057","0.7","0.006"
"201911302300","103","서남권","111231","영등포구","47","53","37","0.005","0.049","0.6","0.004"
"201911302300","103","서남권","111221","구로구","62","56","40","0.006","0.048","0.6","0.005"
"201911302300","103","서남권","111212","강서구","72","67","38","0.003","0.052","0.7","0.007"
"201911302300","103","서남권","111301","양천구","71","63","47","0.003","0.052","0.7","0.006"
"201911302300","103","서남권","111241","동작구","61","54","42","0.002","0.063","0.7","0.005"
"201911302300","104","동남권","111273","송파구","36","41","21","0.006","0.047","0.7","0.004"
"201911302300","104","동남권","111261","강남구","57","57","34","0.003","0.056","0.7","0.004"
"201911302300","104","동남권","111274","강동구","50","56","0","0.005","0.053","0.6","0.004"
"201911302300","104","동남권","111262","서초구","67","65","37","0.006","0.062","0.5","0.006"
"201911302200","100","도심권","111123","종로구","44","49","37","0.003","0.052","0.7","0.005"
"201911302200","100","도심권","111121","중구","46","49","35","0.002","0.054","0.7","0.005"
"201911302200","100","도심권","111131","용산구","42","47","37","0.002","0.058","0.6","0.004"
"201911302200","101","서북권","111201","마포구","55","57","39","0.002","0.062","0.8","0.005"
"201911302200","101","서북권","111191","서대문구","55","51","26","0.004","0.048","0.7","0.007"
"201911302200","101","서북권","111181","은평구","53","55","29","0.006","0.048","0.7","0.006"
"201911302200","102","동북권","111161","성북구","37","49","31","0.011","0.041","0.5","0.003"
"201911302200","102","동북권","111151","중랑구","41","51","21","0.012","0.04","0.5","0.004"
"201911302200","102","동북권","111141","광진구","35","41","29","0.002","0.047","0.8","0.003"
"201911302200","102","동북권","111142","성동구","38","44","27","0.002","0.056","0.6","0.004"
"201911302200","102","동북권","111311","노원구","41","43","33","0.003","0.056","0.8","0.007"
"201911302200","102","동북권","111171","도봉구","34","42","21","0.011","0.035","0.6","0.003"
"201911302200","102","동북권","111291","강북구","44","53","29","0.003","0.047","0.7","0.003"
"201911302200","102","동북권","111152","동대문구","48","54","28","0.005","0.047","0.6","0.004"
"201911302200","103","서남권","111251","관악구","55","53","34","0.003","0.059","0.7","0.005"
"201911302200","103","서남권","111301","양천구","70","63","45","0.001","0.061","0.8","0.007"
"201911302200","103","서남권","111241","동작구","61","54","42","0.002","0.063","0.7","0.004"
"201911302200","103","서남권","111212","강서구","74","68","42","0.002","0.056","0.9","0.008"
"201911302200","103","서남권","111281","금천구","47","45","40","0.002","0.062","0.8","0.006"
"201911302200","103","서남권","111231","영등포구","53","55","43","0.005","0.05","0.7","0.004"
"201911302200","103","서남권","111221","구로구","59","56","41","0.006","0.048","0.5","0.006"
"201911302200","104","동남권","111261","강남구","55","58","31","0.002","0.057","0.7","0.004"
"201911302200","104","동남권","111273","송파구","42","44","22","0.002","0.055","0.8","0.004"
"201911302200","104","동남권","111274","강동구","55","57","0","0.003","0.061","0.7","0.005"
"201911302200","104","동남권","111262","서초구","68","64","36","0.006","0.064","0.5","0.006"
"201911302100","100","도심권","111131","용산구","49","50","42","0.002","0.056","0.6","0.004"
"201911302100","100","도심권","111123","종로구","43","50","34","0.004","0.05","0.7","0.005"
"201911302100","100","도심권","111121","중구","44","50","33","0.004","0.051","0.6","0.004"
"201911302100","101","서북권","111201","마포구","58","57","44","0.002","0.061","0.7","0.005"
"201911302100","101","서북권","111181","은평구","55","55","30","0.004","0.052","0.7","0.005"
"201911302100","101","서북권","111191","서대문구","46","50","24","0.004","0.046","1.2","0.009"
"201911302100","102","동북권","111171","도봉구","46","49","35","0.005","0.039","0.7","0.003"
"201911302100","102","동북권","111152","동대문구","46","55","26","0.01","0.039","0.6","0.004"
"201911302100","102","동북권","111311","노원구","39","45","32","0.002","0.059","0.8","0.007"
"201911302100","102","동북권","111141","광진구","36","42","29","0.004","0.043","0.7","0.003"
"201911302100","102","동북권","111161","성북구","49","53","31","0.003","0.053","0.6","0.004"
"201911302100","102","동북권","111291","강북구","51","55","34","0.005","0.042","0.6","0.004"
"201911302100","102","동북권","111142","성동구","40","47","0","0.003","0.052","0.6","0.004"
"201911302100","102","동북권","111151","중랑구","55","54","32","0.003","0.055","0.7","0.004"
"201911302100","103","서남권","111231","영등포구","53","54","40","0.004","0.05","0.7","0.004"
"201911302100","103","서남권","111221","구로구","57","56","34","0.006","0.049","0.5","0.004"
"201911302100","103","서남권","111301","양천구","75","63","46","0.001","0.058","0.7","0.006"
