측정일시,권역명,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20210101,동남권,강남구,0.022,0.017,0.5,0.004,22,14
20210101,동남권,강동구,0.029,0.014,0.5,0.003,30,20
20210101,동북권,강북구,0.025,0.013,0.6,0.003,33,19
20210101,서남권,강서구,0.027,0.018,0.3,0.005,25,14
20210101,서남권,관악구,0.033,0.013,0.6,0.004,21,12
20210101,동북권,광진구,0.025,0.011,0.6,,25,16
20210101,서남권,구로구,0.029,0.016,0.4,0.004,24,14
20210101,서남권,금천구,0.03,0.015,0.5,0.003,28,18
20210101,동북권,노원구,0.029,0.015,0.6,0.004,29,21
20210101,동북권,도봉구,0.023,0.017,0.4,0.002,22,17
20210101,동북권,동대문구,0.029,0.016,0.6,0.003,23,17
20210101,서남권,동작구,0.029,0.015,0.5,0.003,26,17
20210101,서북권,마포구,0.032,0.013,0.5,0.003,22,15
20210101,서북권,서대문구,0.027,0.012,1.1,0.006,25,23
20210101,동남권,서초구,0.026,0.018,0.4,0.004,22,14
20210101,동북권,성동구,0.033,0.024,0.5,0.003,22,15
20210101,동북권,성북구,0.031,0.013,,0.003,24,16
20210101,동남권,송파구,0.031,0.011,0.6,0.004,21,12
20210101,서남권,양천구,0.031,0.014,0.5,0.004,27,16
20210101,서남권,영등포구,0.026,0.015,0.6,0.003,23,15
20210101,도심권,용산구,0.023,0.013,0.5,0.003,32,13
20210101,서북권,은평구,0.024,0.017,0.6,0.004,22,15
20210101,도심권,종로구,0.025,0.017,0.6,0.003,30,17
20210101,도심권,중구,0.028,0.016,0.5,0.003,30,18
20210101,동북권,중랑구,0.031,0.013,0.6,0.003,26,15
20210102,동남권,강남구,0.015,0.025,0.4,0.004,27,12
20210102,동남권,강동구,0.016,0.026,0.4,0.003,36,14
20210102,동북권,강북구,0.01,0.025,0.4,0.003,40,12
20210102,서남권,강서구,0.014,0.027,0.2,0.003,22,9
20210102,서남권,관악구,0.02,0.021,0.4,0.004,27,10
20210102,동북권,광진구,0.013,0.02,0.5,,29,12
20210102,서남권,구로구,0.017,0.025,0.3,0.004,33,7
20210102,서남권,금천구,0.019,0.024,0.5,0.003,34,14
20210102,동북권,노원구,0.012,0.031,0.4,0.003,35,13
20210102,동북권,도봉구,0.01,0.03,0.3,0.002,29,10
20210102,동북권,동대문구,0.016,0.025,0.4,0.003,27,12
20210102,서남권,동작구,0.018,0.024,0.4,0.003,35,14
20210102,서북권,마포구,0.019,0.02,0.4,0.003,27,10
20210102,서북권,서대문구,0.014,0.025,0.5,0.005,26,10
20210102,동남권,서초구,0.017,0.025,0.3,0.004,32,9
20210102,동북권,성동구,0.019,0.031,0.4,0.003,27,12
20210102,동북권,성북구,0.018,0.023,,0.003,28,9
20210102,동남권,송파구,0.021,0.027,0.4,0.004,30,10
20210102,서남권,양천구,0.017,0.022,0.4,0.003,22,10
20210102,서남권,영등포구,0.016,0.023,0.5,0.003,26,11
20210102,도심권,용산구,0.015,0.019,0.4,0.003,44,9
20210102,서북권,은평구,0.013,0.029,0.5,0.004,32,11
20210102,도심권,종로구,0.014,0.027,0.4,0.003,36,12
