측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지 1시간(㎍/㎥),미세먼지 24시간(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
2023/01/14 00:00,100,도심권,111121,중구,0,0,0,0,0,0,0
2023/01/14 00:00,100,도심권,111131,용산구,17,19,12,0.002,0.035,0.7,0.003
2023/01/14 00:00,100,도심권,111123,종로구,19,19,15,0.002,0.042,1,0.005
2023/01/14 00:00,101,서북권,111181,은평구,20,19,17,0.001,0.031,1.3,0.004
2023/01/14 00:00,101,서북권,111191,서대문구,19,18,12,0.001,0.039,1.1,0.003
2023/01/14 00:00,101,서북권,111201,마포구,15,19,11,0.002,0.038,0.8,0.005
2023/01/14 00:00,102,동북권,111311,노원구,30,27,0,0.002,0.043,0.9,0.004
2023/01/14 00:00,102,동북권,111151,중랑구,13,16,9,0.002,0.041,0.8,0.003
2023/01/14 00:00,102,동북권,111291,강북구,21,17,12,0.002,0.04,1.2,0.004
2023/01/14 00:00,102,동북권,111142,성동구,14,20,9,0.002,0.036,0.7,0.004
2023/01/14 00:00,102,동북권,111161,성북구,33,25,20,0.001,0.044,1.1,0.003
2023/01/14 00:00,102,동북권,111152,동대문구,19,24,14,0.002,0.044,1,0.004
2023/01/14 00:00,102,동북권,111171,도봉구,0,22,0,0.002,0.035,1.4,0.003
2023/01/14 00:00,102,동북권,111141,광진구,9,12,5,0.002,0.027,0.6,0.004
2023/01/14 00:00,103,서남권,111301,양천구,21,25,11,0.001,0.031,0.7,0.004
2023/01/14 00:00,103,서남권,111241,동작구,16,16,11,0.002,0.041,0.5,0.004
2023/01/14 00:00,103,서남권,111251,관악구,23,25,13,0.001,0.038,0.7,0.003
2023/01/14 00:00,103,서남권,111212,강서구,20,26,10,0.002,0.03,0.6,0.003
2023/01/14 00:00,103,서남권,111281,금천구,18,17,14,0.001,0.035,0.5,0.004
2023/01/14 00:00,103,서남권,111221,구로구,18,18,15,0.002,0.03,0.4,0.003
2023/01/14 00:00,103,서남권,111231,영등포구,21,21,10,0.002,0.034,0.7,0.003
2023/01/14 00:00,104,동남권,111261,강남구,12,17,9,0.003,0.039,0.7,0.004
2023/01/14 00:00,104,동남권,111273,송파구,26,26,16,0.002,0.04,1.1,0.003
2023/01/14 00:00,104,동남권,111274,강동구,15,16,8,0.002,0.029,0.6,0.003
2023/01/14 00:00,104,동남권,111262,서초구,19,20,14,0.003,0.038,0.3,0.003
2023/01/13 23:00,100,도심권,111123,종로구,16,19,14,0.002,0.044,1,0.005
2023/01/13 23:00,100,도심권,111131,용산구,19,20,12,0.002,0.036,0.7,0.003
