"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201902282300","100","도심권","111121","중구","85","85","55","0.02","0.064","0.8","0.005"
"201902282300","100","도심권","111123","종로구","83","87","62","0.037","0.037","0.8","0.005"
"201902282300","100","도심권","111131","용산구","81","87","68","0.023","0.05","0.7","0.004"
"201902282300","101","서북권","111181","은평구","91","92","63","0.018","0.047","0.9","0.006"
"201902282300","101","서북권","111191","서대문구","86","88","64","0.013","0.051","1.6","0.007"
"201902282300","101","서북권","111201","마포구","108","95","76","0.009","0.072","0.7","0.006"
"201902282300","102","동북권","111141","광진구","95","96","66","0.014","0.06","1","0.005"
"201902282300","102","동북권","111291","강북구","117","107","72","0.041","0.027","0.7","0.004"
"201902282300","102","동북권","111171","도봉구","0","91","65","0.034","0.035","0.8","0.006"
"201902282300","102","동북권","111161","성북구","93","89","60","0.015","0.065","1.2","0.004"
"201902282300","102","동북권","111152","동대문구","88","93","70","0.028","0.043","0.8","0.01"
"201902282300","102","동북권","111311","노원구","110","97","81","0.031","0.037","0.8","0.005"
"201902282300","102","동북권","111142","성동구","96","104","77","0.019","0.061","0.8","0.004"
"201902282300","102","동북권","111151","중랑구","88","90","69","0.022","0.037","0.8","0.008"
"201902282300","103","서남권","111231","영등포구","104","96","80","0.016","0.07","0.7","0.003"
"201902282300","103","서남권","111221","구로구","100","93","66","0.007","0.064","0.6","0.006"
"201902282300","103","서남권","111241","동작구","97","95","70","0.006","0.078","0.8","0.005"
"201902282300","103","서남권","111301","양천구","115","101","77","0.014","0.069","1","0.005"
"201902282300","103","서남권","111251","관악구","112","96","76","0.003","0.084","1","0.007"
"201902282300","103","서남권","111281","금천구","90","84","62","0.004","0.076","0.9","0.006"
"201902282300","103","서남권","111212","강서구","132","106","82","0.023","0.057","0.9","0.007"
"201902282300","104","동남권","111261","강남구","92","93","77","0.02","0.047","0.7","0.006"
"201902282300","104","동남권","111274","강동구","95","98","69","0.016","0.067","0.8","0.005"
"201902282300","104","동남권","111262","서초구","87","91","57","0.012","0.063","0.5","0.005"
"201902282300","104","동남권","111273","송파구","95","91","63","0.014","0.065","0.8","0.005"
"201902282200","100","도심권","111121","중구","69","84","46","0.033","0.051","0.6","0.005"
"201902282200","100","도심권","111131","용산구","68","88","53","0.02","0.059","0.7","0.004"
"201902282200","100","도심권","111123","종로구","72","87","50","0.042","0.032","0.7","0.005"
"201902282200","101","서북권","111201","마포구","88","95","62","0.018","0.058","0.7","0.006"
"201902282200","101","서북권","111181","은평구","73","91","50","0.007","0.055","0.9","0.005"
"201902282200","101","서북권","111191","서대문구","73","88","53","0.018","0.043","1.5","0.007"
"201902282200","102","동북권","111142","성동구","86","105","64","0.026","0.052","0.7","0.004"
"201902282200","102","동북권","111151","중랑구","83","89","65","0.026","0.037","0.7","0.007"
"201902282200","102","동북권","111152","동대문구","73","93","57","0.041","0.033","0.7","0.009"
"201902282200","102","동북권","111311","노원구","103","97","76","0.025","0.046","0.8","0.006"
"201902282200","102","동북권","111161","성북구","95","90","65","0.02","0.059","1.1","0.004"
