측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20230113,도심권,중구,0,0,0,0,0,0
20230113,도심권,종로구,19,12,0.009,0.037,0.8,0.004
20230113,도심권,용산구,18,13,0.007,0.036,0.7,0.003
20230113,서북권,은평구,14,9,0.017,0.02,1,0.004
20230113,서북권,서대문구,15,10,0.016,0.024,0.8,0.003
20230113,서북권,마포구,18,14,0.01,0.036,0.7,0.004
20230113,동북권,광진구,17,11,0.009,0.027,0.5,0.003
20230113,동북권,성동구,27,12,0.005,0.041,0.7,0.004
20230113,동북권,중랑구,22,11,0.009,0.039,0.6,0.003
20230113,동북권,동대문구,26,13,0.006,0.041,0.8,0.004
20230113,동북권,성북구,22,14,0.006,0.04,0.8,0.003
20230113,동북권,도봉구,17,12,0.009,0.034,1.1,0.003
20230113,동북권,강북구,15,8,0.008,0.031,0.9,0.003
20230113,동북권,노원구,22,15,0.002,0.05,0.9,0.004
20230113,서남권,강서구,24,12,0.009,0.036,0.7,0.004
20230113,서남권,구로구,19,13,0.006,0.032,0.4,0.003
20230113,서남권,영등포구,23,13,0.006,0.039,0.7,0.003
20230113,서남권,동작구,21,13,0.005,0.044,0.7,0.004
20230113,서남권,관악구,24,12,0.005,0.038,0.6,0.003
20230113,서남권,금천구,26,15,0.005,0.037,0.6,0.004
20230113,서남권,양천구,26,15,0.005,0.035,0.7,0.004
20230113,동남권,강남구,21,13,0.007,0.04,0.6,0.004
20230113,동남권,서초구,24,16,0.005,0.042,0.2,0.003
20230113,동남권,송파구,23,15,0.005,0.041,0.8,0.003
20230113,동남권,강동구,20,12,0.006,0.03,0.6,0.003
20230112,도심권,중구,0,0,0,0,0,0
20230112,도심권,종로구,54,41,0.007,0.056,1,0.005
20230112,도심권,용산구,61,41,0.006,0.055,0.9,0.003
20230112,서북권,은평구,48,30,0.012,0.041,1,0.004
20230112,서북권,서대문구,56,39,0.014,0.045,0.8,0.005
20230112,서북권,마포구,54,45,0.007,0.056,0.8,0.005
20230112,동북권,광진구,65,46,0.006,0.044,0.6,0.004
20230112,동북권,성동구,72,41,0.005,0.058,0.9,0.005
20230112,동북권,중랑구,60,45,0.01,0.052,0.7,0.004
20230112,동북권,동대문구,57,40,0.007,0.055,0.9,0.005
20230112,동북권,성북구,63,42,0.006,0.058,1,0.004
20230112,동북권,도봉구,49,36,0.012,0.045,0.9,0.003
20230112,동북권,강북구,56,37,0.011,0.044,0.8,0.003
20230112,동북권,노원구,62,44,0.005,0.068,1.1,0.005
20230112,서남권,강서구,73,44,0.006,0.056,1,0.004
20230112,서남권,구로구,78,53,0.004,0.052,0.7,0.004
20230112,서남권,영등포구,75,55,0.004,0.063,1,0.004
20230112,서남권,동작구,76,56,0.005,0.067,1,0.005
20230112,서남권,관악구,84,50,0.005,0.066,1,0.004
20230112,서남권,금천구,68,53,0.003,0.06,0.8,0.004
20230112,서남권,양천구,75,53,0.004,0.057,1,0.004
20230112,동남권,강남구,69,46,0.005,0.058,0.7,0.004
20230112,동남권,서초구,78,54,0.004,0.06,0.4,0.003
20230112,동남권,송파구,75,48,0.005,0.059,1,0.004
20230112,동남권,강동구,70,50,0.006,0.043,0.7,0.003
20230111,도심권,중구,0,0,0,0,0,0
20230111,도심권,종로구,69,50,0.005,0.064,1.1,0.005
20230111,도심권,용산구,75,46,0.005,0.06,1,0.004
20230111,서북권,은평구,66,40,0.006,0.051,1.2,0.004
20230111,서북권,서대문구,70,45,0.006,0.059,1.3,0.006
20230111,서북권,마포구,63,51,0.005,0.066,1,0.006
20230111,동북권,광진구,71,45,0.005,0.05,0.9,0.004
20230111,동북권,성동구,76,40,0.005,0.061,1,0.005
20230111,동북권,중랑구,66,45,0.006,0.062,0.9,0.004
20230111,동북권,동대문구,66,45,0.006,0.062,1,0.005
20230111,동북권,성북구,69,42,0.005,0.061,1,0.004
20230111,동북권,도봉구,57,38,0.007,0.052,1,0.003
20230111,동북권,강북구,63,37,0.007,0.05,0.9,0.004
20230111,동북권,노원구,68,45,0.005,0.069,1,0.005
20230111,서남권,강서구,88,49,0.005,0.063,1,0.006
20230111,서남권,구로구,86,55,0.004,0.056,0.8,0.004
20230111,서남권,영등포구,79,54,0.004,0.068,1,0.005
20230111,서남권,동작구,80,54,0.007,0.061,0.9,0.004
20230111,서남권,관악구,86,49,0.007,0.066,1,0.005
20230111,서남권,금천구,71,50,0.005,0.054,0.7,0.004
20230111,서남권,양천구,86,54,0.004,0.061,0.9,0.004
20230111,동남권,강남구,74,47,0.005,0.065,1,0.005
20230111,동남권,서초구,82,58,0.004,0.066,0.7,0.003
20230111,동남권,송파구,77,47,0.005,0.061,1,0.004
20230111,동남권,강동구,76,50,0.004,0.048,0.8,0.004
20230110,도심권,중구,0,0,0,0,0,0
20230110,도심권,종로구,58,35,0.009,0.044,0.8,0.004
20230110,도심권,용산구,59,31,0.005,0.043,0.7,0.003
20230110,서북권,은평구,55,26,0.009,0.036,1,0.004
20230110,서북권,서대문구,56,29,0.009,0.043,1.1,0.007
20230110,서북권,마포구,53,36,0.007,0.047,0.8,0.004
20230110,동북권,광진구,61,31,0.007,0.042,0.7,0.002
20230110,동북권,성동구,62,27,0.009,0.042,0.7,0.004
20230110,동북권,중랑구,57,33,0.014,0.039,0.6,0.003
20230110,동북권,동대문구,56,31,0.011,0.041,0.7,0.004
20230110,동북권,성북구,61,32,0.011,0.043,0.7,0.004
20230110,동북권,도봉구,53,28,0.014,0.035,0.7,0.003
20230110,동북권,강북구,61,30,0.013,0.034,0.7,0.003
20230110,동북권,노원구,60,33,0.011,0.05,0.8,0.004
20230110,서남권,강서구,68,30,0.008,0.043,0.7,0.004
20230110,서남권,구로구,64,29,0.008,0.039,0.5,0.004
20230110,서남권,영등포구,58,33,0.008,0.047,0.7,0.004
20230110,서남권,동작구,66,36,0.008,0.048,0.7,0.004
20230110,서남권,관악구,62,30,0.008,0.049,0.8,0.003
20230110,서남권,금천구,57,36,0.007,0.045,0.7,0.004
20230110,서남권,양천구,63,34,0.006,0.043,0.7,0.004
20230110,동남권,강남구,59,30,0.01,0.042,0.6,0.004
20230110,동남권,서초구,61,32,0.006,0.046,0.6,0.003
20230110,동남권,송파구,65,34,0.009,0.043,0.7,0.003
20230110,동남권,강동구,65,35,0.009,0.034,0.6,0.003
20230109,도심권,중구,107,54,0.008,0.048,0.8,0.004
20230109,도심권,종로구,96,47,0.016,0.034,0.7,0.004
20230109,도심권,용산구,97,40,0.015,0.029,0.7,0.004
20230109,서북권,은평구,95,36,0.018,0.025,1,0.004
20230109,서북권,서대문구,96,38,0.017,0.029,0.8,0.005
20230109,서북권,마포구,83,43,0.015,0.033,0.7,0.005
20230109,동북권,광진구,100,39,0.008,0.021,0.9,0.002
20230109,동북권,성동구,99,35,0.015,0.032,0.6,0.004
20230109,동북권,중랑구,91,42,0.019,0.033,0.6,0.004
20230109,동북권,동대문구,95,40,0.016,0.032,0.7,0.004
20230109,동북권,성북구,99,43,0.016,0.034,0.6,0.003
20230109,동북권,도봉구,94,39,0.023,0.024,0.7,0.003
20230109,동북권,강북구,102,38,0.022,0.024,0.7,0.003
20230109,동북권,노원구,99,42,0.021,0.029,0.6,0.004
20230109,서남권,강서구,117,41,0.018,0.029,0.7,0.004
20230109,서남권,구로구,105,40,0.015,0.027,0.5,0.003
20230109,서남권,영등포구,92,45,0.015,0.033,0.7,0.003
20230109,서남권,동작구,98,41,0.017,0.035,0.6,0.004
20230109,서남권,관악구,94,34,0.015,0.032,0.7,0.003
20230109,서남권,금천구,80,37,0.016,0.033,0.7,0.003
20230109,서남권,양천구,105,43,0.014,0.03,0.7,0.003
20230109,동남권,강남구,95,40,0.013,0.035,0.6,0.004
20230109,동남권,서초구,94,42,0.014,0.032,0.5,0.003
20230109,동남권,송파구,102,47,0.013,0.035,0.7,0.003
20230109,동남권,강동구,103,47,0.015,0.024,0.6,0.003
20230108,도심권,중구,135,60,0.013,0.041,0.8,0.003
20230108,도심권,종로구,138,67,0.011,0.039,0.8,0.003
20230108,도심권,용산구,130,56,0.009,0.034,0.8,0.003
20230108,서북권,은평구,132,48,0.014,0.028,1,0.003
20230108,서북권,서대문구,131,52,0.012,0.036,1,0.005
20230108,서북권,마포구,121,63,0.01,0.04,0.9,0.004
20230108,동북권,광진구,125,59,0.012,0.02,1.1,0.002
20230108,동북권,성동구,128,57,0.011,0.034,0.9,0.003
20230108,동북권,중랑구,130,65,0.017,0.032,0.8,0.003
20230108,동북권,동대문구,127,55,0.011,0.037,0.9,0.003
20230108,동북권,성북구,136,62,0.011,0.038,0.8,0.003
20230108,동북권,도봉구,135,55,0.016,0.031,0.8,0.002
20230108,동북권,강북구,155,52,0.015,0.031,0.9,0.003
20230108,동북권,노원구,149,61,0.012,0.042,0.9,0.003
20230108,서남권,강서구,161,50,0.012,0.038,0.9,0.003
20230108,서남권,구로구,141,54,0.009,0.035,0.6,0.003
20230108,서남권,영등포구,131,66,0.008,0.042,0.9,0.003
20230108,서남권,동작구,146,58,0.009,0.043,0.8,0.003
20230108,서남권,관악구,133,45,0.009,0.042,0.9,0.003
20230108,서남권,금천구,112,46,0.014,0.03,0.7,0.003
20230108,서남권,양천구,149,57,0.009,0.037,0.8,0.003
20230108,동남권,강남구,120,65,0.011,0.038,0.9,0.003
20230108,동남권,서초구,127,66,0.008,0.038,0.7,0.003
20230108,동남권,송파구,127,69,0.01,0.037,0.9,0.003
20230108,동남권,강동구,130,75,0.01,0.027,0.8,0.003
20230107,도심권,중구,119,101,0.028,0.032,0.9,0.004
20230107,도심권,종로구,121,104,0.024,0.028,1,0.003
20230107,도심권,용산구,104,77,0.022,0.025,0.9,0.003
20230107,서북권,은평구,119,92,0.024,0.023,1.2,0.003
20230107,서북권,서대문구,113,92,0.021,0.029,1.2,0.005
