"측정년도","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"2023","강남구","0.041","0.012","0.7","0.004","63","38"
"2023","강남대로","0.044","0.009","1","0.004","68","44"
"2023","강동구","0.033","0.011","0.7","0.003","67","44"
"2023","강변북로","0.046","0.009","0.9","0.003","65","44"
"2023","강북구","0.032","0.016","0.8","0.003","64","34"
"2023","강서구","0.04","0.013","0.8","0.004","77","39"
"2023","공항대로","0.044","0.009","0.8","0.004","67","39"
"2023","관악구","0.043","0.011","0.8","0.003","68","37"
"2023","관악산","0.014","0.035","0.3","0.004","50","26"
"2023","광진구","0.027","0.011","0.8","0.003","62","38"
"2023","구로구","0.035","0.011","0.5","0.003","69","40"
"2023","금천구","0.038","0.013","0.7","0.004","60","41"
"2023","남산","0.033","0.015","1","0.004","62","39"
"2023","노원구","0.046","0.013","0.8","0.004","65","42"
"2023","도봉구","0.033","0.017","0.8","0.003","57","35"
"2023","도산대로","0.042","0.008","0.9","0.004","54","44"
"2023","동대문구","0.04","0.013","0.8","0.004","61","37"
"2023","동작구","0.043","0.012","0.7","0.004","68","43"
"2023","동작대로","0.048","0.01","0.9","0.004","70","41"
"2023","마포구","0.042","0.011","0.8","0.004","55","43"
"2023","마포아트센터","0.042","0.014","0.8","0.004","68","39"
"2023","북한산","0.015","0.026","0.4","0.003","52","31"
"2023","서대문구","0.036","0.014","0.9","0.006","61","36"
"2023","서울숲","0.041","0.012","0.9","0.004","64","38"
"2023","서초구","0.041","0.01","0.5","0.003","65","41"
"2023","성동구","0.04","0.011","0.7","0.004","66","34"
"2023","성북구","0.042","0.012","0.8","0.004","63","38"
"2023","세곡","0.04","0.011","1","0.005","66","42"
"2023","송파구","0.042","0.011","0.8","0.003","65","40"
"2023","시흥대로","0.049","0.009","0.8","0.004","64","32"
"2023","신촌로","0.046","0.008","0.9","0.004","73","46"
"2023","양천구","0.039","0.01","0.8","0.004","72","44"
"2023","영등포구","0.043","0.011","0.8","0.004","66","43"
"2023","영등포로","0.046","0.009","0.8","0.004","69","45"
"2023","올림픽공원","0.039","0.016","0.8","0.003","62","45"
"2023","용산구","0.037","0.012","0.7","0.004","61","37"
"2023","은평구","0.03","0.015","0.9","0.004","60","33"
"2023","자연사박물관","0.037","0.017","0.6","0.004","60","37"
"2023","정릉로","0.045","0.008","0.9","0.004","65","41"
"2023","종로","0.043","0.011","0.9","0.004","62","32"
"2023","종로구","0.04","0.013","0.8","0.004","63","43"
"2023","중구","0.038","0.018","0.7","0.004","67","48"
"2023","중랑구","0.04","0.013","0.7","0.003","62","40"
"2023","천호대로","0.047","0.008","0.9","0.004","66","41"
"2023","청계천로","0.039","0.011","0.8","0.004","66","37"
"2023","한강대로","0.044","0.012","0.9","0.003","70","41"
"2023","항동","0.023","0.014","0.9","0.004","58","36"
"2023","행주","0.031","0.014","0.6","0.004","62","35"
"2023","홍릉로","0.041","0.009","0.8","0.004","62","43"
"2023","화랑로","0.047","0.008","0.8","0.003","62","38"
"2022","강남구","0.023","0.03","0.4","0.003","32","18"
"2022","강남대로","0.031","0.019","0.6","0.003","37","19"
"2022","강동구","0.02","0.025","0.4","0.003","34","19"
"2022","강변북로","0.032","0.02","0.6","0.003","36","19"
"2022","강북구","0.015","0.032","0.4","0.002","34","18"
"2022","강서구","0.022","0.03","0.5","0.003","37","19"
"2022","공항대로","0.029","0.024","0.5","0.003","37","19"
"2022","관악구","0.023","0.027","0.5","0.003","34","18"
