"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"202301042200","강동구","0.044","0.006","0.6","0.003","36","26"
"202301042200","동대문구","0.035","0.017","0.6","0.004","34","21"
"202301042200","성동구","0.053","0.002","0.6","0.004","37","21"
"202301042200","관악구","0.062","0.003","1","0.004","44","29"
"202301042200","서초구","0.052","0.002","0.5","0.003","40","25"
"202301042200","구로구","0.049","0.004","0.5","0.004","41","27"
"202301042200","중구","0.05","0.008","0.8","0.004","33","29"
"202301042200","송파구","0.055","0.002","0.8","0.004","37","24"
"202301042200","도봉구","0.027","0.026","0.5","0.003","31","20"
"202301042200","성북구","0.052","0.006","0.7","0.004","26","22"
"202301042200","강북구","0.028","0.017","0.7","0.002","27","17"
"202301042200","중랑구","0.039","0.011","0.6","0.003","29","20"
"202301042200","종로구","0.037","0.014","0.6","0.003","32","24"
"202301042200","양천구","0.045","0.005","0.7","0.003","39","31"
"202301042200","광진구","0.027","0.004","0.8","0.002","35","22"
"202301042200","동작구","0.055","0.002","0.7","0.003","38","27"
"202301042200","용산구","0.048","0.002","0.7","0.003","37","26"
"202301042200","노원구","0.063","0.002","0.8","0.004","35","21"
"202301042200","강서구","0.054","0.003","0.7","0.005","51","31"
"202301042200","서대문구","0.048","0.006","1.3","0.009","35","23"
"202301042200","영등포구","0.055","0.002","0.7","0.004","38","28"
"202301042200","금천구","0.044","0.005","0.6","0.004","33","27"
"202301042200","은평구","0.036","0.007","0.8","0.003","29","17"
"202301042200","강남구","0.047","0.009","0.6","0.004","37","24"
"202301042200","마포구","0.054","0.003","0.7","0.004","33","26"
"202301042100","마포구","0.046","0.007","0.6","0.004","32","24"
"202301042100","동작구","0.055","0.003","0.7","0.004","38","27"
"202301042100","강남구","0.043","0.011","0.6","0.004","42","23"
"202301042100","서대문구","0.032","0.015","1.1","0.01","34","21"
"202301042100","도봉구","0.016","0.036","0.4","0.002","23","18"
"202301042100","관악구","0.051","0.006","0.7","0.004","39","24"
"202301042100","노원구","0.07","0.002","1.1","0.006","37","22"
