역명,승하차_평균_1501,승하차_평균_1502,승하차_평균_1503,승하차_평균_1504,승하차_평균_1505,승하차_평균_1506,승하차_평균_1507,승하차_평균_1508,승하차_평균_1509,승하차_평균_1510,승하차_평균_1511,승하차_평균_1512,승하차_평균_1601,승하차_평균_1602,승하차_평균_1603,승하차_평균_1604,승하차_평균_1605,승하차_평균_1606,승하차_평균_1607,승하차_평균_1608,승하차_평균_1609,승하차_평균_1610,승하차_평균_1611,승하차_평균_1612,승하차_평균_1701,승하차_평균_1702,승하차_평균_1703,승하차_평균_1704,승하차_평균_1705,승하차_평균_1706,승하차_평균_1707,승하차_평균_1708,승하차_평균_1709,승하차_평균_1710,승하차_평균_1711,승하차_평균_1712,승하차_평균_1801,승하차_평균_1802,승하차_평균_1803,승하차_평균_1804,승하차_평균_1805,승하차_평균_1806,승하차_평균_1807,승하차_평균_1808,승하차_평균_1809,승하차_평균_1810,승하차_평균_1811,승하차_평균_1812,승하차_평균_1901,승하차_평균_1902,승하차_평균_1903,승하차_평균_1904,승하차_평균_1905,승하차_평균_1906,승하차_평균_1907,승하차_평균_1908,승하차_평균_1909,승하차_평균_1910,승하차_평균_1911,승하차_평균_1912,승하차_평균_2001,승하차_평균_2002,승하차_평균_2003,승하차_평균_2004,승하차_평균_2005,승하차_평균_2006,승하차_평균_2007,승하차_평균_2008,승하차_평균_2009,승하차_평균_2010,승하차_평균_2011,승하차_평균_2012,승하차_평균_2101,승하차_평균_2102,승하차_평균_2103,승하차_평균_2104,승하차_평균_2105,승하차_평균_2106,승하차_평균_2107,승하차_평균_2108,승하차_평균_2109,승하차_평균_2110,승하차_평균_2111,승하차_평균_2112,승하차_평균_2201,승하차_평균_2202,승하차_평균_2203,승하차_평균_2204,승하차_평균_2205,승하차_평균_2206,승하차_평균_2207,승하차_평균_2208,승하차_평균_2209,승하차_평균_2210,승하차_평균_2211
4.19민주묘지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3153,2786,3127,2466,2145,2202,3439,3477,3587,3125,2502,2578,3198,3474,3546,2800,2474,2406,3592,3795,3836,3154,2678,2571,3375,3576,3519,2973,2474,2201,1841,2114,2315,2396,2447,2016,2114,2424,2468,1966,1898,2129,2536,2676,2566,2613,2243,2200,2382,2510,2673,2412,2275,2208,2785,3202,3407,2935,2593,2499,3660,3597,3813
가능,7295,7136,8221,8438,8137,7599,7594,7284,7877,8106,7778,7673,6695,6803,7887,7936,7884,7916,7399,7182,7494,7818,7753,7440,6519,7037,7716,7752,7675,7756,7137,6973,7757,7025,7459,7079,6479,6515,7426,7552,7522,7418,6979,6689,6971,7506,7395,6816,6584,6435,7123,7463,7519,7214,7070,6792,6939,7298,7094,6744,6134,5534,4544,4805,5384,5751,5723,4882,5025,5484,5511,4577,4431,4907,5637,5843,5592,5927,5250,5128,5442,5729,6006,5679,5234,5012,5450,6249,6561,6340,6129,5857,6368,6440,6487
가락시장,7837,7445,8161,8230,7683,7238,7576,7045,7572,7770,7865,8206,7519,7378,8295,8215,8087,8270,8068,7887,8046,8496,9004,9220,8369,8995,9235,9077,8722,8971,8358,8299,9334,7963,9418,9346,8727,8579,9210,9183,9038,8906,8799,8361,8548,9367,9849,9530,9378,8516,9222,9642,9293,8867,8987,8450,8628,9308,9681,9771,8746,7450,5934,6583,6996,7556,7757,6390,6661,7122,7574,6142,6283,6818,7497,7542,6988,7439,6512,6193,6300,6651,7628,7209,7029,6301,6518,7505,7784,7697,7463,7276,7654,7824,8275
가산디지털단지,29487,27781,30906,31466,27662,29051,29753,26351,28149,29704,30598,30533,28432,27710,30608,29614,28622,29250,28080,27151,26757,28054,30490,29216,26946,29667,29596,28518,26430,28346,27205,26541,28530,23519,29531,26883,27729,26538,28292,28764,27560,27042,28212,26869,25099,28908,30455,27365,29354,26541,28251,30308,29302,27469,29821,26802,26910,28927,29752,28335,26969,25885,21405,23270,23524,26619,26862,22054,22895,24078,26382,22253,22511,23637,26611,27438,24466,27740,24270,22320,22704,23749,27630,26164,24293,22568,23028,25959,26556,26401,26126,25317,25958,25727,28371
가양,18585,18088,20655,21289,20178,19123,19735,18627,19411,20320,20399,20505,18826,18589,20807,21299,20897,20906,20111,19607,19683,20732,21362,20806,19047,20904,21539,21327,20324,20971,19953,19694,21225,18552,21367,20057,19511,19036,20795,21015,20433,20021,19959,19233,18922,20752,21300,20087,20002,19040,20698,21633,21188,20429,20757,19498,19450,21277,21605,20850,18966,17337,13855,14974,15918,17277,17726,15179,14648,16185,17126,13867,14056,15450,17275,17559,16524,17731,15643,14912,15481,16604,18247,17283,16305,15383,15715,18124,19218,19063,18938,18371,19174,19720,20663
가오리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,3175,3619,3502,3443,3465,3818,3898,3914,3880,3885,3789,3788,4130,4176,3904,3923,3756,4128,4230,4151,4040,4068,3851,3983,4253,4276,4097,3730,3319,2692,2959,3142,3400,3472,2929,2980,3242,3387,2854,2819,3101,3479,3594,3441,3717,3320,3264,3382,3511,3699,3523,3345,3273,3336,3754,3958,3891,3864,3727,3931,3969,4081
가좌,2275,2340,2923,3116,3113,2885,2983,2914,3188,3372,3653,3884,3610,3679,4467,4572,4533,4441,4131,4061,4306,4446,4487,4287,3867,4311,4858,4911,4793,4857,4480,4509,5077,4506,5118,4752,4399,4360,5078,5164,5205,5094,4808,4647,4870,5310,5446,4946,4858,4642,5330,5554,5570,5261,5144,4904,5164,5580,5560,5329,4793,4151,3299,3739,4107,4436,4557,3825,3783,4258,4457,3503,3573,4019,4531,4694,4481,4727,4071,3955,4186,4436,4802,4465,4244,3983,4188,4888,5289,5150,4980,4841,5378,5533,5690
가천대,7303,6574,13799,13578,12225,10989,7322,6907,11886,12870,12135,10459,7118,6654,12971,12129,11858,10807,7208,6716,11003,11703,11677,9956,6671,7138,12399,11774,11418,10501,7028,6657,12400,9495,11764,10047,7248,6651,12105,12195,11862,10410,7384,6762,10321,11539,12513,10102,7403,6709,12106,12798,12502,9882,7483,6921,11237,11818,12311,9591,6830,5913,4550,5305,6363,6279,6766,4971,5372,7343,7443,5966,4996,5281,7723,8147,7242,7402,5432,5139,5970,7583,8572,7295,5680,5496,7212,9562,11044,8727,6455,6902,10734,10411,11079
가평,2380,2342,2180,2645,3524,2526,3161,4308,2705,3566,2561,2267,2060,2254,2136,2728,3120,3250,3511,4226,2718,3487,2763,2257,2091,2264,2109,2698,3146,2891,2959,3544,2556,3468,2603,2120,1883,1933,1963,2412,2722,2677,3059,3321,2614,3042,2513,1962,1827,1915,1923,2336,2614,2670,2939,3526,2270,2845,2625,2004,1837,1445,949,1304,1628,1713,2409,1812,1308,1968,1520,966,944,1244,1292,1584,1694,1877,1777,1850,1714,2190,1963,1399,1338,1340,1228,1789,2225,2405,2872,2890,2144,2653,2052
간석,6379,6127,6981,7177,6924,6561,6688,6276,6616,7033,6888,6974,6194,6187,7118,7114,7002,7087,6707,6448,6653,6834,6854,6750,6012,6585,6863,6776,6642,6877,6406,6287,6969,6134,6752,6484,5981,5884,6687,6727,6692,6469,6349,6034,6211,6716,6770,6466,6220,5938,6565,6838,6875,6579,6585,6178,6329,6760,6619,6515,5800,5032,3919,4337,4610,4909,5115,4307,4290,4760,4895,3952,3960,4396,5127,5267,4987,5327,4642,4440,4675,4898,5219,4994,4627,4372,4594,5233,5607,5455,5283,5033,5384,5470,5614
갈매,265,240,326,362,379,415,413,409,455,498,444,391,327,297,418,486,492,641,763,996,1141,1231,1269,1448,1408,1552,1669,1725,1677,1745,1645,1594,1891,2021,2216,2036,1881,1791,2091,2117,2219,2295,2301,2188,2317,2667,2733,2462,2406,2267,2530,2693,2688,2528,2532,2314,2411,2629,2568,2484,2298,2150,1846,2029,2156,2343,2423,1987,2048,2313,2404,1953,1940,2115,2472,2574,2436,2618,2242,2122,2266,2441,2617,2452,2246,2106,2229,2564,2710,2617,2499,2394,2549,2618,2679
