대중교통구분,노선명,년월,승차총승객수
지하철,1호선,201711,8633618
지하철,1호선,201712,8737235
지하철,1호선,201801,8145989
지하철,1호선,201802,7273309
지하철,1호선,201803,8692551
지하철,1호선,201804,8275767
지하철,1호선,201805,8543247
지하철,1호선,201806,7972991
지하철,1호선,201807,8150061
지하철,1호선,201808,7930624
지하철,1호선,201809,7876712
지하철,1호선,201810,8783242
지하철,1호선,201811,8692924
지하철,1호선,201812,8686311
지하철,1호선,201901,8591419
지하철,1호선,201902,7356277
지하철,1호선,201903,8684841
지하철,1호선,201904,8594542
지하철,1호선,201905,8848275
지하철,2호선,201711,47310952
지하철,2호선,201712,48288516
지하철,2호선,201801,45887302
지하철,2호선,201802,40241730
지하철,2호선,201803,49033111
지하철,2호선,201804,47273448
지하철,2호선,201805,48249398
지하철,2호선,201806,45485568
지하철,2호선,201807,47356791
지하철,2호선,201808,45610483
지하철,2호선,201809,42607084
지하철,2호선,201810,48343358
지하철,2호선,201811,48332253
지하철,2호선,201812,47703690
지하철,2호선,201901,46899828
지하철,2호선,201902,39681521
지하철,2호선,201903,48049524
지하철,2호선,201904,48093446
지하철,2호선,201905,49356486
지하철,3호선,201711,17545987
지하철,3호선,201712,17673756
지하철,3호선,201801,16533633
지하철,3호선,201802,14667088
지하철,3호선,201803,17964288
지하철,3호선,201804,17428342
지하철,3호선,201805,17910425
지하철,3호선,201806,16764209
지하철,3호선,201807,17146429
지하철,3호선,201808,16562841
지하철,3호선,201809,16029202
지하철,3호선,201810,18028183
지하철,3호선,201811,17956555
지하철,3호선,201812,17504336
지하철,3호선,201901,17105248
지하철,3호선,201902,14669107
지하철,3호선,201903,17768056
지하철,3호선,201904,17839508
지하철,3호선,201905,18368138
지하철,4호선,201711,18419611
지하철,4호선,201712,18566142
지하철,4호선,201801,16804039
지하철,4호선,201802,14866104
지하철,4호선,201803,18869501
지하철,4호선,201804,18168382
지하철,4호선,201805,18737401
지하철,4호선,201806,17398734
지하철,4호선,201807,17132221
지하철,4호선,201808,16336896
지하철,4호선,201809,16178231
지하철,4호선,201810,18515346
지하철,4호선,201811,18296441
지하철,4호선,201812,18073002
지하철,4호선,201901,17024286
지하철,4호선,201902,14674440
지하철,4호선,201903,18307557
지하철,4호선,201904,18261165
지하철,4호선,201905,18892269
지하철,경부선,201711,15366929
지하철,경부선,201712,15201612
지하철,경부선,201801,13724472
지하철,경부선,201802,12462580
지하철,경부선,201803,15880624
지하철,경부선,201804,15481019
지하철,경부선,201805,15962817
지하철,경부선,201806,14714309
지하철,경부선,201807,14142287
지하철,경부선,201808,13768724
지하철,경부선,201809,14215314
지하철,경부선,201810,15735985
지하철,경부선,201811,15484528
지하철,경부선,201812,14936623
지하철,경부선,201901,14078749
지하철,경부선,201902,12528577
지하철,경부선,201903,15687672
지하철,경부선,201904,15642923
지하철,경부선,201905,16290430
지하철,경인선,201711,10346038
지하철,경인선,201712,10304679
지하철,경인선,201801,9384404
지하철,경인선,201802,8399524
지하철,경인선,201803,10653265
지하철,경인선,201804,10356250
지하철,경인선,201805,10711266
지하철,경인선,201806,9988701
지하철,경인선,201807,9754883
지하철,경인선,201808,9373962
지하철,경인선,201809,9507123
지하철,경인선,201810,10573546
지하철,경인선,201811,10228414
지하철,경인선,201812,9978174
지하철,경인선,201901,9604994
지하철,경인선,201902,8343468
지하철,경인선,201903,10313428
지하철,경인선,201904,10353406
지하철,경인선,201905,10752089
지하철,경원선,201711,6895530
지하철,경원선,201712,6731033
지하철,경원선,201801,6066389
지하철,경원선,201802,5500571
지하철,경원선,201803,7142517
지하철,경원선,201804,6938513
지하철,경원선,201805,7256824
지하철,경원선,201806,6696266
지하철,경원선,201807,6503802
지하철,경원선,201808,6291897
지하철,경원선,201809,6535530
지하철,경원선,201810,7239319
지하철,경원선,201811,6981802
지하철,경원선,201812,6613470
지하철,경원선,201901,6283101
지하철,경원선,201902,5554914
지하철,경원선,201903,7042891
지하철,경원선,201904,7007886
지하철,경원선,201905,7361699
지하철,안산선,201711,4129259
지하철,안산선,201712,4024103
지하철,안산선,201801,3679368
지하철,안산선,201802,3291394
지하철,안산선,201803,4246190
지하철,안산선,201804,4235529
지하철,안산선,201805,4321482
지하철,안산선,201806,3990860
지하철,안산선,201807,3845355
지하철,안산선,201808,3725432
지하철,안산선,201809,3853442
지하철,안산선,201810,4244828
지하철,안산선,201811,4127975
지하철,안산선,201812,3930263
지하철,안산선,201901,3738805
지하철,안산선,201902,3286427
지하철,안산선,201903,4148330
지하철,안산선,201904,4230809
지하철,안산선,201905,4394656
지하철,과천선,201711,3456678
지하철,과천선,201712,3449495
지하철,과천선,201801,3205349
지하철,과천선,201802,2783135
지하철,과천선,201803,3511166
지하철,과천선,201804,3559087
지하철,과천선,201805,3689349
지하철,과천선,201806,3377806
지하철,과천선,201807,3355494
지하철,과천선,201808,3287674
지하철,과천선,201809,3220052
지하철,과천선,201810,3649519
지하철,과천선,201811,3519249
지하철,과천선,201812,3386515
지하철,과천선,201901,3314730
지하철,과천선,201902,2803857
지하철,과천선,201903,3482581
지하철,과천선,201904,3653831
지하철,과천선,201905,3759399
지하철,분당선,201711,11324724
지하철,분당선,201712,11388696
지하철,분당선,201801,10778907
지하철,분당선,201802,9500836
지하철,분당선,201803,11838459
지하철,분당선,201804,11390496
지하철,분당선,201805,11574157
지하철,분당선,201806,10841061
지하철,분당선,201807,11053241
지하철,분당선,201808,10664191
지하철,분당선,201809,10294500
지하철,분당선,201810,11609486
지하철,분당선,201811,11674103
지하철,분당선,201812,11372596
지하철,분당선,201901,11199314
지하철,분당선,201902,9496689
지하철,분당선,201903,11677296
지하철,분당선,201904,11738143
지하철,분당선,201905,12178257
지하철,일산선,201711,3477869
지하철,일산선,201712,3520376
지하철,일산선,201801,3227773
지하철,일산선,201802,2875458
지하철,일산선,201803,3561712
지하철,일산선,201804,3471650
지하철,일산선,201805,3694115
지하철,일산선,201806,3367520
지하철,일산선,201807,3424759
지하철,일산선,201808,3346516
지하철,일산선,201809,3258215
지하철,일산선,201810,3628839
지하철,일산선,201811,3568468
지하철,일산선,201812,3460292
지하철,일산선,201901,3384893
지하철,일산선,201902,2935191
지하철,일산선,201903,3537142
지하철,일산선,201904,3608124
지하철,일산선,201905,3824620
지하철,중앙선,201711,3089935
지하철,중앙선,201712,2970607
지하철,중앙선,201801,2689740
지하철,중앙선,201802,2428190
지하철,중앙선,201803,3138558
지하철,중앙선,201804,3110133
지하철,중앙선,201805,3259622
지하철,중앙선,201806,3005241
지하철,중앙선,201807,2965603
지하철,중앙선,201808,2869230
지하철,중앙선,201809,2940081
지하철,중앙선,201810,3250757
지하철,중앙선,201811,3141015
지하철,중앙선,201812,2921988
지하철,중앙선,201901,2799510
지하철,중앙선,201902,2452381
지하철,중앙선,201903,3127966
지하철,중앙선,201904,3198267
지하철,중앙선,201905,3363372
지하철,장항선,201711,515450
지하철,장항선,201712,472877
지하철,장항선,201801,397622
지하철,장항선,201802,364510
지하철,장항선,201803,542284
지하철,장항선,201804,516285
지하철,장항선,201805,546938
지하철,장항선,201806,465508
지하철,장항선,201807,396597
지하철,장항선,201808,399577
지하철,장항선,201809,480939
지하철,장항선,201810,523180
지하철,장항선,201811,525677
지하철,장항선,201812,470318
지하철,장항선,201901,409923
지하철,장항선,201902,374659
지하철,장항선,201903,543853
지하철,장항선,201904,535901
지하철,장항선,201905,561886
지하철,경의선,201711,3223203
지하철,경의선,201712,3124235
지하철,경의선,201801,2824435
지하철,경의선,201802,2520224
지하철,경의선,201803,3288098
지하철,경의선,201804,3227649
지하철,경의선,201805,3365822
지하철,경의선,201806,3128581
지하철,경의선,201807,3070580
지하철,경의선,201808,2971863
지하철,경의선,201809,3059902
지하철,경의선,201810,3464997
지하철,경의선,201811,3403107
지하철,경의선,201812,3184427
지하철,경의선,201901,3057472
지하철,경의선,201902,2665291
지하철,경의선,201903,3384362
지하철,경의선,201904,3446722
지하철,경의선,201905,3592249
지하철,경춘선,201711,1195031
지하철,경춘선,201712,1122581
지하철,경춘선,201801,1006924
지하철,경춘선,201802,903428
지하철,경춘선,201803,1211193
지하철,경춘선,201804,1242069
지하철,경춘선,201805,1344898
지하철,경춘선,201806,1221249
지하철,경춘선,201807,1198190
지하철,경춘선,201808,1193830
지하철,경춘선,201809,1200294
지하철,경춘선,201810,1322133
지하철,경춘선,201811,1229830
지하철,경춘선,201812,1123454
지하철,경춘선,201901,1070090
지하철,경춘선,201902,964241
지하철,경춘선,201903,1236373
지하철,경춘선,201904,1272844
지하철,경춘선,201905,1375588
지하철,수인선,201711,1412448
지하철,수인선,201712,1381647
지하철,수인선,201801,1244831
지하철,수인선,201802,1087068
지하철,수인선,201803,1449575
지하철,수인선,201804,1436948
지하철,수인선,201805,1517422
지하철,수인선,201806,1408896
지하철,수인선,201807,1338287
지하철,수인선,201808,1273345
지하철,수인선,201809,1345510
지하철,수인선,201810,1532475
지하철,수인선,201811,1444369
지하철,수인선,201812,1382138
지하철,수인선,201901,1303254
지하철,수인선,201902,1124736
지하철,수인선,201903,1458430
지하철,수인선,201904,1489426
지하철,수인선,201905,1576583
지하철,경강선,201711,778390
지하철,경강선,201712,772841
지하철,경강선,201801,699511
지하철,경강선,201802,640096
지하철,경강선,201803,812367
지하철,경강선,201804,801580
지하철,경강선,201805,853184
지하철,경강선,201806,789124
지하철,경강선,201807,777704
지하철,경강선,201808,775414
지하철,경강선,201809,797384
지하철,경강선,201810,901419
지하철,경강선,201811,886852
지하철,경강선,201812,825054
지하철,경강선,201901,785050
지하철,경강선,201902,698936
지하철,경강선,201903,859295
지하철,경강선,201904,878213
지하철,경강선,201905,933785
지하철,서해선,201806,343785
지하철,서해선,201807,633724
지하철,서해선,201808,621605
지하철,서해선,201809,635508
지하철,서해선,201810,751325
지하철,서해선,201811,758917
지하철,서해선,201812,747321
지하철,서해선,201901,743368
지하철,서해선,201902,657067
지하철,서해선,201903,838927
지하철,서해선,201904,862434
지하철,서해선,201905,897774
지하철,5호선,201711,18656464
지하철,5호선,201712,18782771
지하철,5호선,201801,17821984
지하철,5호선,201802,15512971
지하철,5호선,201803,19241969
지하철,5호선,201804,18973480
지하철,5호선,201805,19264990
지하철,5호선,201806,18014833
지하철,5호선,201807,18276689
지하철,5호선,201808,17600571
지하철,5호선,201809,16833876
지하철,5호선,201810,19277024
지하철,5호선,201811,19113549
지하철,5호선,201812,18484816
지하철,5호선,201901,18286102
지하철,5호선,201902,15446522
지하철,5호선,201903,18834177
지하철,5호선,201904,19439028
지하철,5호선,201905,19767410
지하철,6호선,201711,11132866
지하철,6호선,201712,11027361
지하철,6호선,201801,10132175
지하철,6호선,201802,9006419
지하철,6호선,201803,11496844
지하철,6호선,201804,11108151
지하철,6호선,201805,11567943
지하철,6호선,201806,10602634
지하철,6호선,201807,10632495
지하철,6호선,201808,10229063
지하철,6호선,201809,10185000
지하철,6호선,201810,11811629
지하철,6호선,201811,11286820
지하철,6호선,201812,10938420
지하철,6호선,201901,10439337
지하철,6호선,201902,8930481
지하철,6호선,201903,11313594
지하철,6호선,201904,11276357
지하철,6호선,201905,11707933
지하철,7호선,201711,22072213
지하철,7호선,201712,21821835
지하철,7호선,201801,20808681
지하철,7호선,201802,18321937
지하철,7호선,201803,22747349
지하철,7호선,201804,22251248
지하철,7호선,201805,22847200
지하철,7호선,201806,21242129
지하철,7호선,201807,21467155
지하철,7호선,201808,20765978
지하철,7호선,201809,20102943
지하철,7호선,201810,22709438
지하철,7호선,201811,22594694
지하철,7호선,201812,21729775
지하철,7호선,201901,21451866
지하철,7호선,201902,18303459
지하철,7호선,201903,22454521
지하철,7호선,201904,22872658
지하철,7호선,201905,23561337
지하철,8호선,201711,5653701
지하철,8호선,201712,5723547
지하철,8호선,201801,5451091
지하철,8호선,201802,4772563
지하철,8호선,201803,5905182
지하철,8호선,201804,5793719
지하철,8호선,201805,5916680
지하철,8호선,201806,5523152
지하철,8호선,201807,5630084
지하철,8호선,201808,5445725
지하철,8호선,201809,5176534
지하철,8호선,201810,5973011
지하철,8호선,201811,5944278
지하철,8호선,201812,5786610
지하철,8호선,201901,5738366
지하철,8호선,201902,4882939
지하철,8호선,201903,5999692
지하철,8호선,201904,6132746
지하철,8호선,201905,6255062
지하철,인천1호선,201711,6197885
지하철,인천1호선,201712,6206436
지하철,인천1호선,201801,5707794
지하철,인천1호선,201802,5127939
지하철,인천1호선,201803,6461234
지하철,인천1호선,201804,6254065
지하철,인천1호선,201805,6533132
지하철,인천1호선,201806,6055539
지하철,인천1호선,201807,5985743
지하철,인천1호선,201808,5729269
지하철,인천1호선,201809,5815947
지하철,인천1호선,201810,6451713
지하철,인천1호선,201811,6372583
지하철,인천1호선,201812,6182630
지하철,인천1호선,201901,5917244
지하철,인천1호선,201902,5155354
지하철,인천1호선,201903,6352570
지하철,인천1호선,201904,6417388
지하철,인천1호선,201905,6672033
지하철,인천2호선,201711,3095605
지하철,인천2호선,201712,3100523
지하철,인천2호선,201801,2920783
지하철,인천2호선,201802,2600793
지하철,인천2호선,201803,3317713
지하철,인천2호선,201804,3336808
지하철,인천2호선,201805,3404656
지하철,인천2호선,201806,3235633
