노선명,승하차_평균_1501,승하차_평균_1502,승하차_평균_1503,승하차_평균_1504,승하차_평균_1505,승하차_평균_1506,승하차_평균_1507,승하차_평균_1508,승하차_평균_1509,승하차_평균_1510,승하차_평균_1511,승하차_평균_1512,승하차_평균_1601,승하차_평균_1602,승하차_평균_1603,승하차_평균_1604,승하차_평균_1605,승하차_평균_1606,승하차_평균_1607,승하차_평균_1608,승하차_평균_1609,승하차_평균_1610,승하차_평균_1611,승하차_평균_1612,승하차_평균_1701,승하차_평균_1702,승하차_평균_1703,승하차_평균_1704,승하차_평균_1705,승하차_평균_1706,승하차_평균_1707,승하차_평균_1708,승하차_평균_1709,승하차_평균_1710,승하차_평균_1711,승하차_평균_1712,승하차_평균_1801,승하차_평균_1802,승하차_평균_1803,승하차_평균_1804,승하차_평균_1805,승하차_평균_1806,승하차_평균_1807,승하차_평균_1808,승하차_평균_1809,승하차_평균_1810,승하차_평균_1811,승하차_평균_1812,승하차_평균_1901,승하차_평균_1902,승하차_평균_1903,승하차_평균_1904,승하차_평균_1905,승하차_평균_1906,승하차_평균_1907,승하차_평균_1908,승하차_평균_1909,승하차_평균_1910,승하차_평균_1911,승하차_평균_1912,승하차_평균_2001,승하차_평균_2002,승하차_평균_2003,승하차_평균_2004,승하차_평균_2005,승하차_평균_2006,승하차_평균_2007,승하차_평균_2008,승하차_평균_2009,승하차_평균_2010,승하차_평균_2011,승하차_평균_2012,승하차_평균_2101,승하차_평균_2102,승하차_평균_2103,승하차_평균_2104,승하차_평균_2105,승하차_평균_2106,승하차_평균_2107,승하차_평균_2108,승하차_평균_2109,승하차_평균_2110,승하차_평균_2111,승하차_평균_2112,승하차_평균_2201,승하차_평균_2202,승하차_평균_2203,승하차_평균_2204,승하차_평균_2205,승하차_평균_2206,승하차_평균_2207,승하차_평균_2208,승하차_평균_2209,승하차_평균_2210,승하차_평균_2211_x,승하차_평균_2211_y
1호선,29916.0,28465.0,30334.0,30226.0,29409.0,25233.0,27410.0,26871.0,27716.0,29046.0,29397.0,30440.0,27874.0,27270.0,29567.0,29229.0,29041.0,28612.0,27629.0,26896.0,27351.0,28494.0,31020.0,30026.0,26184.0,29128.0,29279.0,27870.0,26907.0,27083.0,25707.0,25671.0,28230.0,25523.0,28573.0,28005.0,26036.0,25781.0,27862.0,27417.0,27396.0,26478.0,26120.0,25379.0,26116.0,28096.0,28671.0,27766.0,27445.0,26052.0,27797.0,28435.0,28369.0,26953.0,26871.0,26275.0,25812.0,28684.0,28042.0,28144.0,25058.0,20005.0,14749.0,16753.0,18273.0,19299.0,20124.0,16332.0,15968.0,18131.0,18876.0,14397.0,14487.0,16467.0,18550.0,18954.0,18056.0,19157.0,16349.0,15710.0,16633.0,18046.0,19953.0,18315.0,17598.0,16199.0,16638.0,19694.0,21407.0,20971.0,20610.0,19991.0,21147.0,22507.0,22781.0,22781.0
2호선,31161.0,29378.0,33163.0,33249.0,31608.0,29119.0,30734.0,29203.0,29970.0,31744.0,31664.0,32468.0,29498.0,28839.0,32366.0,31915.0,31530.0,31385.0,30778.0,29913.0,29338.0,30965.0,32021.0,31982.0,28565.0,31750.0,32036.0,31581.0,30365.0,30843.0,29791.0,29440.0,31495.0,27221.0,31736.0,31370.0,29747.0,28906.0,31860.0,31742.0,31378.0,30568.0,30776.0,29646.0,28633.0,31421.0,32477.0,30997.0,30435.0,28519.0,31197.0,32274.0,32088.0,30394.0,31326.0,29820.0,29049.0,31732.0,31858.0,31627.0,27920.0,24687.0,18716.0,20412.0,21424.0,23233.0,24359.0,20229.0,19067.0,21628.0,22950.0,17701.0,18162.0,20332.0,22902.0,23225.0,22011.0,23641.0,20164.0,19315.0,19891.0,21566.0,24388.0,23198.0,21826.0,20387.0,20883.0,24266.0,25770.0,25143.0,25162.0,24122.0,25068.0,25798.0,26931.0,26931.0
3호선,16532.0,15721.0,17573.0,17818.0,17115.0,15137.0,15970.0,15452.0,15954.0,16919.0,16927.0,17198.0,15473.0,15383.0,17064.0,17069.0,16947.0,16686.0,16091.0,15670.0,15719.0,16730.0,17409.0,17545.0,15326.0,17121.0,17507.0,17086.0,16519.0,16733.0,15959.0,15872.0,16997.0,15118.0,17282.0,16820.0,15739.0,15464.0,17148.0,17153.0,17067.0,16480.0,16357.0,15734.0,15824.0,17246.0,17663.0,16685.0,16296.0,15559.0,16940.0,17527.0,17488.0,16541.0,16686.0,16142.0,16080.0,17522.0,17776.0,17166.0,15323.0,13106.0,9871.0,10988.0,11923.0,12952.0,13439.0,11135.0,10685.0,12182.0,12886.0,10025.0,10242.0,11553.0,12748.0,13017.0,12373.0,13218.0,11392.0,10924.0,11444.0,12364.0,13692.0,12842.0,12191.0,11449.0,11575.0,13456.0,14635.0,14193.0,13868.0,13355.0,14114.0,14755.0,15251.0,15251.0
4호선,22885.0,21876.0,25226.0,25582.0,24874.0,21818.0,22297.0,21585.0,23110.0,24541.0,24359.0,24882.0,21733.0,21676.0,25036.0,24766.0,24683.0,24092.0,22717.0,22103.0,22679.0,24053.0,24717.0,24408.0,20951.0,23183.0,24648.0,24068.0,23526.0,23471.0,21770.0,21603.0,23426.0,20765.0,23708.0,23180.0,20963.0,20540.0,23531.0,23400.0,23351.0,22426.0,21352.0,20405.0,20888.0,23125.0,23608.0,22592.0,21252.0,20313.0,22845.0,23549.0,23571.0,22187.0,21813.0,20915.0,21227.0,23054.0,23128.0,22837.0,19649.0,16893.0,12828.0,13990.0,15036.0,16080.0,16546.0,13517.0,13336.0,15041.0,15805.0,12421.0,12476.0,13896.0,15743.0,16012.0,15249.0,16113.0,13954.0,13316.0,14029.0,15072.0,16617.0,15954.0,14718.0,13826.0,14437.0,16579.0,17930.0,17277.0,16746.0,16125.0,17457.0,18247.0,18894.0,18894.0
5호선,11363.0,10728.0,12334.0,12748.0,11899.0,10915.0,11302.0,10789.0,11259.0,11960.0,11806.0,12061.0,10804.0,10589.0,12120.0,12215.0,11907.0,11818.0,11270.0,10999.0,11055.0,11680.0,12261.0,12128.0,10568.0,11762.0,12212.0,12259.0,11599.0,11790.0,11073.0,11024.0,12179.0,10522.0,12128.0,11817.0,11224.0,10805.0,12110.0,12344.0,12109.0,11698.0,11482.0,11053.0,10923.0,12125.0,12426.0,11621.0,11501.0,10747.0,11847.0,12652.0,12424.0,11635.0,11852.0,11287.0,11229.0,12357.0,12304.0,12118.0,10822.0,9818.0,7778.0,8485.0,9035.0,9802.0,10064.0,8253.0,8052.0,8980.0,9543.0,7691.0,7896.0,8750.0,9919.0,9834.0,9207.0,9812.0,8492.0,8120.0,8453.0,9048.0,10042.0,9582.0,9027.0,8481.0,8702.0,10152.0,10655.0,10395.0,10184.0,9950.0,10374.0,10655.0,11021.0,11021.0
6호선,8685.0,8299.0,9909.0,9955.0,9729.0,8891.0,8810.0,8431.0,9144.0,9942.0,9567.0,9580.0,8463.0,8342.0,9848.0,9699.0,9703.0,9470.0,8801.0,8707.0,9108.0,9790.0,9919.0,9643.0,8372.0,9265.0,9980.0,9771.0,9509.0,9589.0,8824.0,8751.0,9807.0,8952.0,9808.0,9411.0,8664.0,8530.0,9839.0,9789.0,9880.0,9341.0,9025.0,8758.0,8966.0,10098.0,9962.0,9328.0,8884.0,8423.0,9646.0,9927.0,10017.0,9325.0,9188.0,8784.0,9042.0,10070.0,9869.0,9456.0,8285.0,7503.0,5994.0,6438.0,6634.0,7202.0,7415.0,6170.0,6151.0,6886.0,7179.0,5727.0,5759.0,6452.0,7313.0,7448.0,7118.0,7504.0,6469.0,6253.0,6531.0,7024.0,7638.0,7305.0,6831.0,6481.0,6776.0,7772.0,8327.0,8077.0,7806.0,7519.0,8261.0,8585.0,8540.0,8540.0
7호선,13756.0,13082.0,15164.0,15341.0,14558.0,13443.0,13695.0,12994.0,13821.0,14500.0,14475.0,14465.0,13069.0,12913.0,14813.0,14757.0,14578.0,14320.0,13515.0,13192.0,13408.0,14076.0,14522.0,14138.0,12657.0,13919.0,14608.0,14512.0,14013.0,14058.0,13100.0,12947.0,14275.0,12397.0,14318.0,13675.0,13044.0,12699.0,14271.0,14429.0,14336.0,13771.0,13474.0,13033.0,13031.0,14256.0,14651.0,13619.0,13457.0,12696.0,14102.0,14846.0,14791.0,13753.0,13798.0,13062.0,13323.0,14261.0,14437.0,13922.0,12492.0,11321.0,9194.0,9991.0,10544.0,11356.0,11616.0,9826.0,9794.0,10707.0,11295.0,9277.0,9377.0,10135.0,11389.0,11711.0,11004.0,11740.0,10310.0,9793.0,10184.0,10781.0,11897.0,11348.0,10472.0,9975.0,10677.0,12460.0,13195.0,12746.0,12391.0,11930.0,12808.0,12881.0,13555.0,13555.0
8호선,9291.0,8825.0,10171.0,10431.0,9916.0,9044.0,9346.0,8901.0,9461.0,10010.0,9887.0,10050.0,9086.0,8984.0,10294.0,10327.0,10226.0,10057.0,9568.0,9385.0,9508.0,10089.0,10368.0,10330.0,9359.0,10266.0,10762.0,10915.0,10463.0,10560.0,9971.0,9920.0,10858.0,9576.0,11054.0,10836.0,10338.0,10027.0,11183.0,11332.0,11196.0,10783.0,10670.0,10324.0,10131.0,11310.0,11631.0,11002.0,10904.0,10278.0,11394.0,12029.0,11861.0,11115.0,11214.0,10558.0,10645.0,11510.0,11690.0,11525.0,10374.0,9256.0,7380.0,8039.0,8537.0,9231.0,9418.0,7947.0,7901.0,8763.0,9270.0,7604.0,7913.0,8390.0,9355.0,9500.0,8889.0,9470.0,8330.0,7932.0,8146.0,8786.0,9711.0,9202.0,8427.0,7887.0,8118.0,9443.0,9753.0,9565.0,9373.0,9064.0,9418.0,9740.0,10141.0,10141.0
9호선,9972.0,9403.0,10606.0,11434.0,10432.0,9644.0,10223.0,9739.0,10079.0,10660.0,10214.0,10386.0,9606.0,9439.0,10525.0,10904.0,10470.0,10545.0,10286.0,10097.0,9944.0,10552.0,10821.0,10739.0,9722.0,10706.0,10871.0,11139.0,10377.0,10672.0,10238.0,10206.0,11113.0,9418.0,11024.0,10487.0,10189.0,9889.0,10773.0,11125.0,10764.0,10528.0,10629.0,10300.0,9972.0,10931.0,11260.0,10861.0,10814.0,10190.0,11056.0,11875.0,11420.0,10917.0,11242.0,10723.0,10591.0,11482.0,11631.0,11478.0,10301.0,9068.0,6944.0,7636.0,8193.0,8990.0,9398.0,7951.0,7416.0,8395.0,8953.0,6968.0,7203.0,8178.0,9263.0,9448.0,8902.0,9580.0,8232.0,7887.0,8177.0,8779.0,9851.0,9346.0,8906.0,8305.0,8344.0,9926.0,10400.0,10246.0,10156.0,9793.0,10187.0,10361.0,10833.0,10833.0
경부선,12632.0,12365.0,14363.0,14737.0,14166.0,11935.0,12385.0,12261.0,13610.0,14056.0,13345.0,13111.0,11541.0,11682.0,13665.0,13531.0,13543.0,12934.0,11907.0,11696.0,12638.0,13078.0,13122.0,12654.0,11322.0,12190.0,13369.0,13134.0,12815.0,12556.0,11493.0,11601.0,13148.0,11967.0,13088.0,12528.0,11301.0,11369.0,13083.0,13175.0,13142.0,12513.0,11671.0,11358.0,12115.0,12976.0,13205.0,12315.0,11602.0,11434.0,12935.0,13322.0,13422.0,12557.0,12056.0,11721.0,12338.0,13071.0,13029.0,12595.0,11026.0,9133.0,7006.0,7952.0,8787.0,9380.0,9632.0,8149.0,8001.0,9253.0,9602.0,7454.0,7450.0,8366.0,9565.0,9840.0,9463.0,9894.0,8457.0,8071.0,8652.0,9484.0,10413.0,9684.0,8925.0,8401.0,9024.0,10545.0,11477.0,10925.0,10452.0,10004.0,11142.0,11467.0,11649.0,11649.0
